accelX,accelY,accelZ,gyroX,gyroY,gyroZ,pitch,roll
0.06,-0.12,1.1,-0.05,0.04,-0.06,3.23,-6.27
0.06,-0.11,1.09,-0.0,0.12,-0.15,3.36,-5.92
0.06,-0.11,1.09,-0.07,0.02,-0.05,3.33,-5.94
0.06,-0.12,1.09,-0.09,0.0,-0.02,3.23,-6.33
0.07,-0.12,1.08,-0.0,0.15,-0.18,3.48,-6.37
0.07,-0.12,1.08,-0.07,0.01,-0.01,3.56,-6.4
0.06,-0.12,1.08,-0.1,-0.03,-0.0,2.92,-6.18
0.06,-0.12,1.09,-0.09,-0.01,-0.0,3.02,-6.19
0.05,-0.12,1.1,-0.04,0.14,-0.14,2.83,-6.16
0.06,-0.12,1.09,-0.1,0.02,-0.02,2.99,-6.32
0.05,-0.12,1.1,-0.06,0.0,-0.02,2.37,-6.1
0.06,-0.12,1.1,-0.07,0.0,-0.03,2.9,-6.28
0.06,-0.12,1.1,-0.0,0.16,-0.18,2.98,-6.26
0.05,-0.12,1.1,-0.06,0.06,-0.09,2.8,-6.08
0.05,-0.12,1.1,-0.05,-0.01,-0.02,2.59,-6.12
0.05,-0.12,1.09,-0.04,0.0,-0.02,2.54,-6.33
0.06,-0.12,1.09,-0.06,0.03,-0.03,2.99,-6.41
0.06,-0.12,1.09,-0.03,0.08,-0.1,3.17,-6.32
0.06,-0.12,1.08,-0.04,-0.01,-0.02,3.18,-6.54
0.06,-0.12,1.08,-0.04,0.02,-0.03,3.27,-6.43
0.06,-0.12,1.08,0.01,0.17,-0.17,3.11,-6.41
0.06,-0.13,1.09,-0.1,0.0,-0.01,3.02,-6.66
0.06,-0.13,1.08,0.0,0.15,-0.16,2.94,-6.86
0.05,-0.13,1.08,-0.06,-0.0,-0.0,2.8,-6.77
0.05,-0.13,1.08,-0.06,0.01,-0.01,2.6,-6.86
0.05,-0.13,1.08,-0.07,0.01,0.0,2.43,-6.72
0.05,-0.13,1.08,0.0,0.11,-0.11,2.55,-6.8
0.05,-0.13,1.08,-0.04,0.05,-0.08,2.52,-7.0
0.05,-0.13,1.08,-0.12,-0.08,0.07,2.41,-6.69
0.05,-0.13,1.09,-0.05,-0.02,0.01,2.4,-6.62
0.05,-0.13,1.08,0.04,0.12,-0.15,2.65,-6.73
0.05,-0.13,1.07,-0.01,0.04,-0.07,2.76,-6.89
0.05,-0.13,1.07,-0.02,-0.02,-0.01,2.81,-7.02
0.06,-0.14,1.06,-0.05,-0.04,0.01,3.15,-7.23
0.05,-0.13,1.07,-0.02,-0.05,0.0,2.81,-6.81
0.05,-0.13,1.06,-0.01,-0.05,-0.0,2.87,-6.96
0.06,-0.13,1.06,-0.02,-0.05,0.01,3.09,-7.06
0.05,-0.13,1.07,0.01,0.04,-0.07,2.7,-6.68
0.05,-0.14,1.07,0.0,-0.06,0.01,2.84,-7.22
0.06,-0.13,1.07,-0.01,-0.04,0.0,3.16,-7.03
0.06,-0.13,1.07,0.0,-0.02,0.01,3.07,-7.12
0.06,-0.13,1.08,0.06,0.13,-0.14,3.2,-7.01
0.07,-0.13,1.08,-0.03,-0.01,-0.0,3.61,-7.06
0.07,-0.14,1.08,-0.01,-0.02,-0.01,3.89,-7.31
0.07,-0.14,1.08,-0.03,-0.03,0.01,3.62,-7.37
0.06,-0.14,1.08,0.03,0.14,-0.14,3.35,-7.2
0.06,-0.13,1.09,-0.02,-0.02,0.02,3.29,-7.03
0.06,-0.13,1.1,-0.04,-0.03,0.03,3.24,-6.89
0.06,-0.13,1.1,-0.14,-0.22,0.21,3.15,-6.86
0.06,-0.13,1.1,-0.03,-0.06,0.04,2.86,-6.7
0.05,-0.13,1.1,-0.02,0.04,-0.05,2.69,-6.52
0.06,-0.12,1.1,-0.01,-0.04,0.03,2.93,-6.41
0.05,-0.12,1.1,-0.02,-0.05,0.03,2.7,-6.17
0.04,-0.12,1.11,0.05,0.13,-0.13,1.84,-6.42
0.04,-0.1,1.11,-0.02,-0.01,0.01,2.19,-5.4
0.05,-0.12,1.12,0.05,0.11,-0.1,2.68,-6.17
0.06,-0.11,1.12,0.0,0.03,-0.02,2.8,-5.65
0.06,-0.11,1.12,0.06,0.13,-0.1,2.8,-5.52
0.07,-0.11,1.12,-0.0,0.03,0.03,3.6,-5.71
0.07,-0.1,1.13,0.05,0.23,-0.17,3.4,-5.18
0.07,-0.1,1.14,-0.02,0.1,-0.01,3.37,-5.23
0.08,-0.11,1.13,0.05,0.26,-0.13,3.91,-5.71
0.09,-0.11,1.12,0.02,0.3,-0.15,4.36,-5.36
0.08,-0.1,1.12,-0.06,0.17,0.0,4.3,-5.31
0.09,-0.11,1.13,-0.03,0.29,-0.1,4.57,-5.71
0.09,-0.11,1.12,-0.11,0.22,-0.01,4.68,-5.74
0.08,-0.11,1.12,-0.16,0.24,-0.03,4.28,-5.5
0.09,-0.11,1.11,-0.13,0.21,-0.01,4.6,-5.74
0.09,-0.11,1.1,-0.1,0.36,-0.17,4.47,-5.69
0.08,-0.12,1.09,-0.16,0.22,-0.07,4.05,-6.11
0.06,-0.12,1.09,-0.11,0.32,-0.18,3.32,-6.14
0.06,-0.12,1.1,-0.08,0.33,-0.25,3.29,-6.01
0.06,-0.12,1.1,-0.13,0.12,-0.08,3.13,-6.0
0.06,-0.11,1.12,-0.13,0.08,-0.05,3.1,-5.44
0.06,-0.11,1.12,-0.09,0.08,-0.07,3.22,-5.55
0.08,-0.11,1.13,-0.02,0.11,-0.16,3.83,-5.71
0.08,-0.11,1.13,-0.02,-0.01,-0.06,4.19,-5.56
0.09,-0.11,1.14,-0.0,-0.02,-0.11,4.58,-5.29
0.1,-0.1,1.15,0.01,-0.03,-0.13,5.12,-4.75
0.11,-0.1,1.15,-0.01,-0.04,-0.16,5.23,-4.7
0.12,-0.09,1.16,0.04,-0.09,-0.18,5.97,-4.5
0.14,-0.1,1.16,0.02,-0.14,-0.2,6.79,-4.68
0.15,-0.1,1.15,0.03,-0.1,-0.26,7.42,-5.14
0.16,-0.11,1.13,-0.02,-0.16,-0.26,7.88,-5.63
0.16,-0.11,1.12,-0.01,-0.14,-0.31,8.19,-5.69
0.16,-0.12,1.1,-0.04,-0.13,-0.34,8.29,-5.92
0.15,-0.11,1.08,-0.09,-0.14,-0.34,7.88,-5.85
0.13,-0.11,1.07,-0.1,-0.06,-0.41,6.87,-6.03
0.12,-0.12,1.07,-0.17,-0.16,-0.28,6.54,-6.24
0.11,-0.12,1.07,-0.2,-0.17,-0.25,6.04,-6.35
0.11,-0.13,1.06,-0.21,-0.15,-0.24,5.76,-6.88
0.1,-0.13,1.06,-0.26,-0.14,-0.21,5.45,-6.93
0.1,-0.13,1.06,-0.28,-0.14,-0.18,5.17,-6.84
0.08,-0.13,1.07,-0.3,-0.09,-0.23,4.21,-6.91
0.08,-0.13,1.08,-0.32,-0.09,-0.16,4.17,-6.85
0.05,-0.12,1.08,-0.34,-0.07,-0.14,2.79,-6.29
0.04,-0.12,1.1,-0.3,-0.07,-0.14,2.33,-6.03
0.04,-0.12,1.1,-0.25,0.02,-0.21,2.17,-6.35
0.04,-0.12,1.09,-0.27,-0.03,-0.13,2.02,-6.11
0.04,-0.12,1.08,-0.23,-0.05,-0.14,2.36,-6.42
0.05,-0.12,1.08,-0.22,-0.03,-0.14,2.45,-6.45
0.05,-0.12,1.08,-0.18,-0.05,-0.14,2.42,-6.41
0.06,-0.11,1.08,-0.16,-0.06,-0.14,3.03,-6.06
0.06,-0.12,1.08,-0.17,-0.02,-0.15,3.03,-6.32
0.06,-0.12,1.07,-0.15,-0.03,-0.15,3.28,-6.4
0.07,-0.12,1.06,-0.14,-0.04,-0.15,3.8,-6.63
0.07,-0.12,1.06,-0.15,-0.03,-0.17,3.78,-6.59
0.07,-0.12,1.06,-0.19,-0.02,-0.17,3.87,-6.44
0.06,-0.13,1.05,-0.17,0.1,-0.32,3.33,-6.79
0.06,-0.12,1.05,-0.23,0.03,-0.23,3.06,-6.75
0.04,-0.13,1.06,-0.25,-0.05,-0.15,2.24,-6.96
0.03,-0.13,1.05,-0.26,-0.01,-0.16,1.77,-7.15
0.02,-0.14,1.05,-0.28,-0.04,-0.14,1.29,-7.71
0.01,-0.15,1.05,-0.24,-0.03,-0.13,0.76,-7.84
-0.0,-0.15,1.06,-0.23,-0.03,-0.14,-0.05,-7.94
-0.01,-0.15,1.05,-0.2,-0.02,-0.13,-0.64,-8.42
-0.01,-0.16,1.05,-0.25,-0.03,-0.11,-0.47,-8.39
-0.02,-0.16,1.05,-0.12,0.11,-0.24,-1.07,-8.46
-0.02,-0.15,1.05,-0.12,0.13,-0.24,-1.16,-8.3
-0.03,-0.15,1.05,-0.14,-0.02,-0.09,-1.4,-8.24
-0.02,-0.15,1.04,-0.13,-0.03,-0.05,-1.07,-8.28
-0.01,-0.16,1.05,-0.05,0.12,-0.18,-0.5,-8.52
-0.01,-0.16,1.06,-0.08,-0.03,-0.05,-0.45,-8.75
-0.01,-0.17,1.05,-0.01,0.12,-0.21,-0.58,-8.94
-0.01,-0.17,1.05,-0.09,-0.04,-0.03,-0.45,-8.97
0.0,-0.16,1.05,-0.05,-0.05,-0.02,0.25,-8.59
0.01,-0.16,1.04,-0.09,-0.11,0.04,0.44,-8.85
0.01,-0.17,1.04,0.03,0.1,-0.16,0.67,-9.22
0.01,-0.16,1.04,-0.04,-0.05,-0.0,0.36,-8.97
0.02,-0.16,1.04,-0.06,-0.06,-0.01,0.86,-8.88
0.01,-0.16,1.04,-0.06,-0.08,0.02,0.6,-8.51
0.0,-0.15,1.04,-0.04,-0.07,0.04,0.23,-8.16
-0.0,-0.15,1.04,-0.05,-0.08,0.04,-0.25,-8.25
-0.01,-0.15,1.05,0.07,0.11,-0.14,-0.51,-8.21
-0.01,-0.16,1.04,0.01,-0.03,0.0,-0.44,-8.55
-0.0,-0.15,1.04,0.01,-0.09,0.09,-0.25,-8.26
0.0,-0.15,1.05,0.08,0.06,-0.06,0.19,-8.07
0.01,-0.15,1.05,0.06,-0.09,0.09,0.32,-7.97
0.01,-0.15,1.05,0.06,-0.1,0.1,0.48,-7.87
0.01,-0.14,1.06,0.08,-0.12,0.11,0.77,-7.73
0.02,-0.14,1.06,0.07,-0.09,0.1,1.08,-7.6
0.03,-0.14,1.06,0.11,-0.06,0.05,1.66,-7.51
0.03,-0.13,1.06,0.08,-0.14,0.11,1.77,-7.11
0.03,-0.14,1.06,0.12,-0.14,0.12,1.62,-7.27
0.03,-0.13,1.07,0.11,-0.14,0.12,1.84,-6.94
0.04,-0.13,1.07,0.1,-0.16,0.13,2.11,-7.15
0.04,-0.13,1.08,0.11,-0.18,0.15,2.19,-6.66
0.04,-0.12,1.09,0.14,-0.18,0.14,2.0,-6.17
0.04,-0.11,1.09,0.15,-0.18,0.13,1.85,-5.77
0.04,-0.11,1.1,0.15,-0.18,0.12,1.82,-5.87
0.03,-0.1,1.1,0.15,-0.2,0.14,1.73,-5.39
0.03,-0.1,1.11,0.13,-0.23,0.16,1.51,-5.32
0.04,-0.1,1.11,0.23,-0.04,-0.03,1.89,-5.27
0.04,-0.1,1.1,0.16,-0.18,0.12,1.97,-5.31
0.04,-0.11,1.1,0.22,-0.07,0.01,2.22,-5.52
