accelX,accelY,accelZ,gyroX,gyroY,gyroZ,pitch,roll
0.06,-0.12,0.99,-0.06,0.01,0.0,3.56,-6.69
0.06,-0.12,0.99,-0.07,-0.01,0.01,3.38,-7.02
0.06,-0.12,0.99,-0.04,-0.0,0.0,3.26,-6.81
0.06,-0.11,1.0,-0.05,0.01,0.01,3.44,-6.47
0.06,-0.12,0.99,-0.09,-0.05,0.07,3.64,-6.62
0.06,-0.12,0.99,0.02,0.13,-0.13,3.5,-6.82
0.06,-0.12,0.99,-0.06,0.01,0.0,3.62,-6.73
0.06,-0.12,1.0,-0.06,0.01,0.0,3.54,-6.93
0.07,-0.12,0.99,-0.11,-0.1,0.1,3.81,-6.87
0.06,-0.11,0.99,-0.09,-0.02,0.03,3.54,-6.53
0.05,-0.11,0.99,-0.07,-0.01,0.02,3.09,-6.6
0.06,-0.12,0.99,-0.06,0.02,0.0,3.16,-6.79
0.06,-0.12,0.99,-0.04,0.0,-0.01,3.63,-6.71
0.06,-0.12,0.99,-0.04,-0.01,0.0,3.54,-6.78
0.06,-0.12,1.0,0.0,0.15,-0.15,3.53,-6.84
0.06,-0.11,0.99,-0.09,0.02,-0.0,3.41,-6.52
0.07,-0.12,0.99,-0.05,0.01,-0.01,4.01,-6.89
0.07,-0.12,0.99,-0.04,-0.01,-0.0,4.01,-6.89
0.06,-0.12,0.99,-0.04,0.0,0.0,3.22,-6.7
0.07,-0.12,0.99,-0.04,-0.01,0.0,3.82,-7.01
0.06,-0.12,0.99,-0.03,0.01,-0.0,3.37,-7.02
0.06,-0.11,0.99,-0.03,-0.01,0.01,3.58,-6.16
0.07,-0.11,0.99,-0.03,0.0,-0.01,4.08,-6.58
0.07,-0.12,0.98,-0.05,0.0,0.0,3.88,-6.76
0.07,-0.13,0.99,-0.05,0.01,0.0,4.09,-7.2
0.07,-0.12,0.99,-0.04,-0.02,0.01,4.08,-6.81
0.06,-0.12,0.99,0.03,0.15,-0.16,3.31,-6.62
0.06,-0.12,1.0,-0.04,0.02,0.0,3.33,-6.74
0.06,-0.12,0.99,0.02,0.14,-0.13,3.53,-7.16
0.06,-0.12,0.99,-0.03,0.01,-0.01,3.49,-6.74
0.06,-0.12,0.99,0.02,0.15,-0.14,3.65,-6.63
0.06,-0.12,0.99,-0.05,0.0,0.0,3.57,-6.81
0.06,-0.12,0.99,-0.06,0.01,0.0,3.41,-6.73
0.06,-0.12,0.99,-0.03,0.07,-0.06,3.44,-7.1
0.06,-0.12,1.0,-0.06,-0.01,0.0,3.36,-7.03
0.06,-0.11,0.99,-0.05,0.01,0.01,3.44,-6.39
0.06,-0.12,1.0,-0.03,0.0,0.01,3.44,-6.83
0.06,-0.12,0.99,-0.02,0.07,-0.06,3.66,-6.98
0.06,-0.12,0.99,-0.08,0.0,0.02,3.45,-6.91
0.06,-0.12,0.99,0.01,0.14,-0.14,3.51,-6.98
0.06,-0.12,0.99,-0.08,0.02,0.0,3.46,-6.77
0.06,-0.12,0.99,-0.08,-0.05,0.03,3.59,-6.61
0.06,-0.12,0.99,-0.06,-0.02,0.01,3.52,-6.96
0.06,-0.12,0.99,-0.07,0.0,0.01,3.63,-6.79
0.06,-0.11,1.0,-0.04,-0.0,-0.0,3.44,-6.54
0.06,-0.12,0.99,-0.05,0.01,-0.0,3.58,-6.89
0.07,-0.12,0.99,-0.06,-0.02,0.01,3.74,-6.78
0.06,-0.12,0.99,-0.07,0.01,0.0,3.39,-6.72
0.07,-0.12,0.99,-0.05,0.01,0.0,3.73,-6.93
0.06,-0.12,0.99,-0.06,0.01,0.0,3.66,-6.74
0.06,-0.12,0.99,-0.05,-0.01,0.01,3.28,-6.89
0.07,-0.12,0.99,-0.02,0.0,0.01,3.84,-6.76
0.06,-0.12,0.99,-0.04,0.0,-0.0,3.6,-6.64
0.06,-0.12,1.0,-0.04,0.02,-0.02,3.3,-6.74
0.06,-0.12,1.0,-0.06,-0.01,0.01,3.51,-6.62
0.06,-0.12,0.99,-0.07,-0.0,0.0,3.35,-6.72
0.06,-0.12,0.99,-0.05,0.01,0.01,3.38,-6.81
0.07,-0.12,0.99,-0.03,0.01,-0.0,3.79,-6.79
0.05,-0.12,0.99,-0.05,-0.01,0.01,3.04,-6.75
0.06,-0.12,1.0,-0.02,-0.0,-0.0,3.64,-6.75
0.07,-0.12,0.99,-0.05,0.0,0.0,3.72,-6.74
0.06,-0.12,0.99,-0.05,0.01,-0.0,3.59,-6.94
0.07,-0.12,0.99,-0.04,0.02,-0.0,3.79,-6.65
0.06,-0.12,0.99,0.0,0.13,-0.13,3.64,-6.69
0.06,-0.12,0.99,-0.05,0.01,-0.0,3.67,-6.91
0.06,-0.12,0.99,-0.06,0.01,0.0,3.72,-6.86
0.06,-0.12,0.99,-0.05,0.04,-0.05,3.51,-6.79
0.06,-0.11,0.99,0.08,0.23,-0.24,3.55,-6.61
0.06,-0.12,0.99,-0.04,0.0,0.0,3.69,-6.66
0.06,-0.12,0.99,-0.04,0.0,0.0,3.41,-6.71
0.06,-0.12,0.99,-0.04,0.03,-0.04,3.69,-6.75
0.06,-0.12,0.99,-0.06,-0.0,0.0,3.17,-7.04
0.06,-0.12,1.0,-0.02,-0.0,0.01,3.48,-6.74
0.06,-0.11,0.99,-0.05,-0.0,-0.0,3.36,-6.48
0.06,-0.12,0.99,-0.05,-0.01,-0.0,3.32,-6.84
0.06,-0.12,0.98,-0.05,-0.02,0.01,3.25,-6.88
0.06,-0.12,1.0,-0.02,-0.01,0.0,3.39,-7.08
0.06,-0.12,0.98,-0.03,0.0,0.0,3.62,-6.88
0.06,-0.12,0.99,-0.09,-0.1,0.08,3.47,-6.77
0.06,-0.12,1.0,-0.07,0.02,-0.02,3.51,-6.64
0.06,-0.12,1.0,0.07,0.22,-0.21,3.35,-6.6
0.06,-0.12,0.99,-0.04,0.01,0.0,3.56,-6.76
0.06,-0.12,0.99,-0.06,0.01,-0.01,3.4,-6.95
0.06,-0.12,0.99,0.02,0.13,-0.13,3.28,-6.72
0.06,-0.11,0.99,-0.05,0.01,0.0,3.34,-6.59
0.06,-0.12,0.99,-0.04,0.01,0.01,3.62,-7.1
0.06,-0.12,0.98,-0.06,0.03,-0.01,3.49,-6.91
0.05,-0.12,0.99,-0.05,-0.02,0.01,3.09,-6.88
0.06,-0.12,0.99,-0.05,0.01,0.0,3.2,-7.06
