accelX,accelY,accelZ,gyroX,gyroY,gyroZ,pitch,roll
-0.03,-0.0,0.94,-0.27,-0.04,0.05,-1.67,-0.1
-0.01,0.0,0.94,-0.28,-0.07,0.07,-0.86,0.12
0.0,-0.0,0.95,-0.28,-0.08,0.07,0.07,-0.18
0.02,-0.01,0.95,-0.29,-0.08,0.07,0.94,-0.72
0.04,-0.02,0.95,-0.28,-0.08,0.07,2.28,-1.39
0.06,-0.02,0.95,-0.25,-0.08,0.07,3.61,-1.23
0.09,-0.02,0.96,-0.21,-0.09,0.05,5.28,-1.4
0.09,-0.01,0.98,-0.17,-0.07,0.04,5.17,-0.55
0.09,-0.01,1.01,-0.12,-0.07,0.05,5.07,-0.69
0.08,-0.01,1.04,-0.05,-0.02,0.05,4.6,-0.46
0.09,-0.0,1.05,0.03,-0.01,0.08,4.96,-0.22
0.1,0.01,1.05,0.09,0.01,0.11,5.45,0.3
0.09,0.01,1.08,0.16,0.03,0.14,4.75,0.79
0.1,0.02,1.11,0.26,0.04,0.2,5.02,0.79
0.1,0.02,1.1,0.37,0.04,0.24,5.01,0.94
0.09,0.03,1.1,0.47,0.07,0.28,4.82,1.68
0.07,0.03,1.08,0.55,0.09,0.33,3.46,1.78
0.04,0.03,1.07,0.63,0.11,0.37,2.26,1.65
0.02,0.01,1.04,0.7,0.11,0.41,0.97,0.41
-0.01,-0.0,1.05,0.76,0.15,0.46,-0.64,-0.01
-0.03,-0.02,0.99,0.75,0.2,0.49,-1.78,-1.02
-0.03,-0.0,0.97,0.76,0.22,0.53,-2.06,-0.2
-0.03,-0.01,0.97,0.75,0.25,0.58,-1.66,-0.68
-0.02,-0.01,0.97,0.74,0.33,0.59,-1.17,-0.55
-0.02,0.01,0.96,0.72,0.43,0.63,-0.99,0.73
-0.02,0.02,0.94,0.71,0.5,0.67,-1.1,1.15
-0.04,0.04,0.91,0.72,0.54,0.69,-2.48,2.64
-0.08,0.08,0.89,0.67,0.57,0.68,-5.24,5.08
-0.17,0.12,0.86,0.61,0.52,0.66,-10.97,7.82
-0.25,0.14,0.74,0.5,0.38,0.65,-18.25,10.16
-0.3,0.14,0.61,0.33,0.08,0.61,-25.82,11.49
-0.29,0.11,0.59,0.08,-0.14,0.48,-25.91,9.51
-0.24,0.04,0.65,-0.14,-0.17,0.31,-19.94,3.46
-0.2,0.0,0.75,-0.33,-0.16,0.19,-14.58,0.06
-0.15,-0.0,0.83,-0.42,-0.15,0.11,-10.1,-0.18
-0.11,0.03,0.89,-0.47,-0.13,0.06,-6.78,1.62
-0.09,0.04,0.95,-0.51,-0.1,0.02,-5.53,2.5
-0.07,0.05,0.99,-0.52,-0.12,0.03,-4.3,2.92
-0.07,0.05,1.0,-0.54,-0.08,0.05,-3.84,3.12
-0.06,0.07,0.99,-0.54,-0.06,0.08,-3.4,4.03
-0.03,0.08,0.97,-0.55,-0.04,0.09,-1.97,4.44
-0.01,0.07,0.96,-0.56,-0.05,0.09,-0.79,4.14
0.03,0.07,0.97,-0.54,-0.09,0.07,2.04,4.03
0.06,0.07,0.97,-0.51,-0.13,0.07,3.67,4.01
0.08,0.07,0.97,-0.45,-0.14,0.06,4.71,4.14
0.1,0.07,0.97,-0.41,-0.17,0.05,5.87,4.2
0.11,0.08,0.96,-0.35,-0.2,0.03,6.54,4.56
0.12,0.07,0.95,-0.28,-0.22,0.0,7.01,4.29
0.13,0.07,0.94,-0.24,-0.23,-0.02,7.95,4.46
0.14,0.09,0.93,-0.18,-0.2,-0.06,8.62,5.31
0.15,0.09,0.94,-0.1,-0.22,-0.09,8.81,5.24
0.14,0.08,0.93,-0.02,-0.24,-0.13,8.38,4.95
0.11,0.08,0.92,0.03,-0.24,-0.18,6.53,5.23
0.08,0.08,0.9,0.08,-0.26,-0.23,4.81,5.27
0.06,0.07,0.91,0.1,-0.28,-0.26,4.07,4.51
0.05,0.07,0.89,0.14,-0.33,-0.32,3.46,4.39
0.01,0.07,0.89,0.14,-0.38,-0.36,0.69,4.31
-0.03,0.05,0.9,0.14,-0.41,-0.39,-1.98,3.47
-0.07,0.04,0.87,0.13,-0.45,-0.43,-4.53,2.86
-0.1,0.04,0.91,0.09,-0.44,-0.42,-6.52,2.66
-0.11,0.04,0.9,0.05,-0.46,-0.44,-7.1,2.25
-0.14,0.02,0.93,-0.03,-0.5,-0.45,-8.38,1.48
-0.15,0.01,0.95,-0.06,-0.53,-0.43,-9.01,0.55
-0.16,-0.0,0.98,-0.11,-0.5,-0.41,-9.36,-0.01
-0.16,-0.01,0.99,-0.14,-0.45,-0.36,-9.36,-0.41
-0.18,-0.01,1.0,-0.18,-0.35,-0.32,-10.0,-0.53
-0.18,-0.01,1.0,-0.22,-0.25,-0.24,-10.21,-0.71
-0.2,-0.03,1.03,-0.27,-0.11,-0.16,-11.14,-1.89
-0.2,-0.03,1.03,-0.34,0.1,-0.04,-11.09,-1.37
-0.17,-0.01,0.98,-0.39,0.21,0.04,-9.71,-0.38
-0.15,-0.0,0.98,-0.46,0.29,0.11,-8.43,-0.1
-0.1,0.02,0.95,-0.48,0.24,0.17,-6.04,1.1
-0.08,0.02,0.89,-0.48,0.08,0.19,-5.31,1.53
-0.07,0.01,0.87,-0.51,0.01,0.18,-4.35,0.62
-0.03,-0.0,0.85,-0.53,-0.08,0.18,-2.09,-0.02
-0.03,-0.02,0.82,-0.55,-0.19,0.17,-1.87,-1.13
-0.02,-0.04,0.82,-0.55,-0.31,0.13,-1.1,-2.74
0.0,-0.04,0.8,-0.57,-0.36,0.11,0.28,-2.79
0.03,-0.05,0.81,-0.59,-0.37,0.06,1.95,-3.77
0.04,-0.06,0.85,-0.58,-0.34,0.04,2.98,-3.71
0.06,-0.06,0.89,-0.55,-0.35,0.01,3.87,-3.75
