accelX,accelY,accelZ,gyroX,gyroY,gyroZ,pitch,roll
0.09,0.07,1.0,-0.04,0.01,0.01,5.23,4.21
0.09,0.07,0.99,-0.03,-0.01,-0.0,5.25,3.77
0.09,0.07,1.0,-0.03,-0.01,0.01,5.15,3.91
0.09,0.07,0.99,-0.04,0.01,0.01,5.36,3.81
0.09,0.07,0.99,-0.03,0.01,0.0,5.35,3.78
0.09,0.07,0.99,-0.06,-0.0,0.01,5.26,3.98
0.09,0.07,0.99,0.02,0.12,-0.13,5.32,4.0
0.09,0.07,0.99,-0.02,0.0,0.0,5.21,3.82
0.09,0.07,0.99,-0.03,-0.0,0.0,5.27,4.05
0.09,0.07,1.0,-0.02,-0.01,0.01,5.38,3.77
0.09,0.07,1.0,-0.04,-0.01,-0.0,5.35,3.78
0.09,0.07,1.0,-0.05,0.0,0.0,5.33,3.78
0.09,0.07,0.99,-0.04,0.0,-0.0,5.23,3.79
0.09,0.07,0.99,-0.06,-0.01,0.02,5.38,3.81
0.09,0.06,1.0,-0.07,-0.01,0.01,5.29,3.6
0.09,0.07,0.99,-0.06,0.0,-0.0,5.42,3.87
0.09,0.07,0.99,-0.03,0.01,0.01,5.22,4.18
0.09,0.07,1.0,0.0,0.09,-0.1,5.04,3.93
0.09,0.07,0.99,-0.05,-0.01,0.02,5.45,3.93
0.09,0.07,0.99,-0.05,-0.0,0.01,5.42,3.77
0.09,0.07,1.0,-0.05,0.0,-0.0,5.28,3.95
0.09,0.07,1.0,-0.04,0.01,-0.02,5.23,3.89
0.09,0.07,0.99,-0.07,-0.02,0.01,5.13,3.98
0.09,0.07,1.0,-0.07,-0.01,0.0,5.19,4.01
0.09,0.07,0.99,-0.04,0.01,0.0,5.13,3.9
0.09,0.06,0.99,-0.06,0.01,0.0,5.12,3.73
0.09,0.07,1.0,-0.05,-0.01,0.02,5.35,4.12
0.09,0.07,0.99,-0.03,0.0,0.0,5.24,3.98
0.09,0.07,0.99,-0.04,-0.0,0.01,5.2,3.96
0.09,0.07,0.99,-0.05,0.0,0.0,5.24,3.87
0.09,0.07,1.0,-0.03,-0.01,0.01,5.33,4.11
0.09,0.07,0.99,0.03,0.14,-0.14,5.15,3.94
0.09,0.07,1.0,-0.03,0.0,0.0,5.42,3.94
0.09,0.07,0.99,-0.03,0.01,0.0,5.26,4.02
0.1,0.07,0.99,-0.07,-0.0,0.03,5.48,4.25
0.09,0.07,0.99,0.03,0.13,-0.14,5.36,3.93
