accelX,accelY,accelZ,gyroX,gyroY,gyroZ
-0.01,0.11,1.01,0.16,0.07,0.04
-0.01,0.11,1.0,0.15,0.05,0.04
-0.01,0.11,1.0,0.14,0.04,0.03
-0.01,0.1,1.01,0.12,0.03,0.04
-0.0,0.09,1.01,0.11,0.03,0.03
-0.0,0.09,1.0,0.08,0.03,0.04
-0.01,0.09,1.0,0.09,0.03,0.04
-0.01,0.09,0.99,0.08,0.04,0.05
-0.02,0.09,0.99,0.07,0.05,0.06
-0.01,0.09,0.98,0.06,0.05,0.08
-0.02,0.09,0.98,0.07,0.04,0.11
-0.02,0.09,0.99,0.07,0.02,0.12
-0.03,0.1,1.0,0.09,0.01,0.14
-0.03,0.09,1.0,0.1,0.0,0.15
-0.03,0.09,1.01,0.13,0.01,0.15
-0.03,0.09,1.01,0.14,0.02,0.15
-0.02,0.08,1.01,0.15,0.03,0.14
-0.03,0.08,0.99,0.17,0.03,0.14
-0.03,0.09,0.99,0.19,0.02,0.14
-0.03,0.08,0.98,0.19,0.02,0.15
-0.03,0.1,0.98,0.2,0.02,0.15
-0.04,0.09,1.0,0.2,0.02,0.15
-0.04,0.1,1.01,0.21,-0.0,0.13
-0.03,0.1,1.02,0.21,-0.01,0.13
-0.02,0.09,1.03,0.2,0.02,0.11
-0.02,0.09,1.04,0.19,0.06,0.1
-0.01,0.07,1.05,0.19,0.1,0.08
-0.02,0.08,1.04,0.17,0.14,0.07
-0.02,0.07,1.03,0.16,0.16,0.06
-0.02,0.07,1.02,0.15,0.19,0.06
-0.02,0.07,1.02,0.13,0.18,0.06
-0.03,0.07,1.01,0.11,0.18,0.05
-0.03,0.06,1.02,0.09,0.18,0.06
-0.03,0.06,1.02,0.08,0.15,0.06
-0.03,0.06,1.02,0.07,0.14,0.06
-0.04,0.06,1.02,0.05,0.15,0.07
-0.05,0.05,1.01,0.06,0.15,0.08
-0.05,0.04,1.01,0.04,0.15,0.08
-0.04,0.04,1.01,0.05,0.14,0.09
