accelX,accelY,accelZ,gyroX,gyroY,gyroZ,pitch,roll
0.02,0.07,1.11,0.16,-0.03,0.06,0.91,3.86
0.02,0.08,1.12,0.16,-0.0,0.06,0.84,4.11
0.03,0.07,1.12,0.18,0.0,0.06,1.36,3.65
0.03,0.06,1.12,0.2,-0.0,0.07,1.41,3.28
0.03,0.07,1.12,0.21,-0.01,0.07,1.45,3.33
0.02,0.07,1.13,0.22,-0.0,0.08,1.04,3.33
0.02,0.06,1.14,0.25,0.01,0.08,1.17,3.21
0.03,0.06,1.13,0.26,-0.0,0.08,1.4,2.91
0.03,0.06,1.12,0.29,-0.01,0.06,1.72,3.02
0.05,0.06,1.11,0.29,0.01,0.05,2.56,2.87
0.07,0.05,1.11,0.29,0.02,0.06,3.53,2.34
0.08,0.03,1.09,0.25,-0.02,0.09,4.38,1.58
0.1,0.02,1.08,0.25,0.0,0.06,5.27,1.16
0.11,0.01,1.08,0.23,0.03,0.02,5.74,0.4
0.1,0.02,1.08,0.19,0.03,0.01,5.5,1.01
0.11,0.02,1.06,0.17,0.02,0.0,5.74,0.83
0.1,0.01,1.07,0.12,0.02,-0.01,5.28,0.78
0.09,0.03,1.07,0.1,0.03,-0.02,5.06,1.36
0.08,0.03,1.07,0.06,0.06,-0.02,4.14,1.35
0.06,0.03,1.08,0.04,0.05,-0.02,3.42,1.69
0.04,0.05,1.08,0.04,0.05,-0.02,2.12,2.47
0.03,0.05,1.08,0.04,0.06,-0.03,1.51,2.63
0.02,0.06,1.08,0.06,0.07,-0.02,1.03,3.06
-0.01,0.07,1.07,0.06,0.05,-0.01,-0.36,3.83
-0.01,0.07,1.08,0.09,0.04,-0.01,-0.36,3.86
-0.02,0.08,1.1,0.12,0.04,-0.0,-0.99,4.4
-0.02,0.1,1.12,0.16,0.03,-0.0,-1.12,4.92
-0.02,0.1,1.13,0.21,0.02,0.01,-1.06,4.91
-0.0,0.08,1.13,0.24,0.03,0.01,-0.13,4.28
0.01,0.07,1.12,0.27,0.04,-0.0,0.74,3.48
0.04,0.05,1.11,0.28,0.06,-0.01,1.97,2.69
0.07,0.04,1.1,0.26,0.08,-0.03,3.4,2.11
0.09,0.03,1.07,0.26,0.08,-0.03,4.54,1.34
0.11,0.02,1.05,0.23,0.09,-0.03,5.83,1.08
0.12,0.0,1.02,0.18,0.1,-0.03,6.87,0.22
0.13,-0.0,1.02,0.19,0.26,-0.16,7.19,-0.14
0.13,-0.0,1.02,0.06,0.13,-0.04,7.22,-0.03
0.13,-0.0,1.01,0.01,0.12,-0.04,7.13,-0.03
0.11,0.01,1.03,-0.02,0.13,-0.04,6.26,0.6
0.11,0.01,1.04,-0.06,0.14,-0.05,6.25,0.47
0.12,0.01,1.07,-0.1,0.14,-0.04,6.44,0.36
0.11,0.0,1.05,-0.11,0.14,-0.06,6.16,0.17
0.12,-0.0,1.04,-0.14,0.16,-0.08,6.36,-0.06
0.1,0.01,1.04,-0.17,0.16,-0.09,5.37,0.39
0.07,0.02,1.04,-0.17,0.14,-0.1,3.98,1.27
0.05,0.03,1.04,-0.17,0.11,-0.09,2.89,1.73
0.03,0.04,1.05,-0.16,0.09,-0.09,1.87,2.37
0.03,0.03,1.06,-0.13,0.07,-0.08,1.4,1.83
0.01,0.04,1.07,-0.09,0.04,-0.07,0.68,2.25
-0.0,0.05,1.08,-0.04,-0.01,-0.06,-0.13,2.72
-0.02,0.06,1.1,0.02,-0.02,-0.07,-1.09,3.26
-0.03,0.08,1.11,0.08,-0.05,-0.06,-1.34,4.17
-0.02,0.08,1.11,0.15,-0.06,-0.06,-1.01,4.29
-0.01,0.08,1.11,0.22,-0.08,-0.05,-0.28,4.33
0.01,0.08,1.1,0.26,-0.08,-0.04,0.35,4.0
0.02,0.07,1.11,0.3,-0.09,-0.03,0.97,3.56
0.04,0.06,1.11,0.32,-0.07,-0.02,2.04,3.27
0.07,0.05,1.1,0.34,-0.07,-0.02,3.81,2.54
0.12,0.02,1.07,0.33,-0.03,-0.04,6.46,0.83
0.16,-0.01,1.02,0.29,-0.01,-0.05,9.04,-0.44
0.2,-0.04,0.99,0.23,-0.0,-0.06,11.19,-2.07
0.21,-0.03,0.97,0.14,-0.01,-0.06,11.93,-1.66
0.2,-0.02,0.97,0.06,0.0,-0.05,11.67,-0.94
0.19,-0.0,0.98,-0.02,0.01,-0.06,11.1,-0.18
0.19,0.01,0.98,-0.08,0.01,-0.06,10.9,0.79
0.19,0.02,0.99,-0.13,0.01,-0.07,10.99,1.29
0.19,0.03,0.98,-0.18,-0.0,-0.07,11.06,1.53
0.19,0.03,1.0,-0.24,-0.0,-0.08,10.74,1.89
0.18,0.04,1.02,-0.3,0.0,-0.09,9.96,2.11
0.17,0.04,1.04,-0.34,0.0,-0.12,9.13,2.34
0.15,0.04,1.05,-0.39,0.0,-0.13,8.16,2.28
0.13,0.05,1.06,-0.44,0.05,-0.16,7.25,2.65
0.12,0.05,1.06,-0.5,0.09,-0.17,6.53,2.55
0.09,0.06,1.07,-0.54,0.11,-0.17,5.05,3.21
0.06,0.07,1.08,-0.57,0.13,-0.18,3.33,3.63
0.03,0.07,1.07,-0.59,0.15,-0.18,1.85,3.98
0.0,0.08,1.08,-0.61,0.18,-0.18,0.15,4.23
-0.03,0.09,1.08,-0.58,0.17,-0.17,-1.71,4.96
-0.04,0.1,1.08,-0.55,0.16,-0.13,-2.33,5.13
-0.06,0.1,1.08,-0.55,0.14,-0.11,-3.19,5.17
-0.06,0.1,1.09,-0.52,0.11,-0.07,-3.4,5.2
-0.08,0.1,1.11,-0.49,0.07,-0.04,-3.93,5.12
-0.08,0.12,1.13,-0.46,0.04,-0.01,-4.15,5.91
-0.06,0.14,1.17,-0.44,0.03,0.02,-3.08,6.85
-0.04,0.14,1.21,-0.43,0.0,0.04,-1.81,6.79
-0.02,0.16,1.26,-0.41,-0.05,0.04,-0.81,7.38
0.01,0.18,1.31,-0.4,-0.1,0.03,0.58,7.79
0.04,0.21,1.36,-0.43,-0.12,-0.02,1.69,8.6
0.05,0.24,1.38,-0.45,-0.14,-0.06,2.24,9.75
0.09,0.27,1.44,-0.51,-0.14,-0.13,3.55,10.51
0.14,0.31,1.49,-0.57,-0.15,-0.15,5.37,11.57
0.17,0.34,1.56,-0.67,-0.08,-0.2,6.15,12.17
0.21,0.35,1.65,-0.81,0.02,-0.26,7.1,11.88
0.23,0.36,1.72,-0.99,0.17,-0.35,7.35,11.59
0.24,0.38,1.81,-1.17,0.36,-0.43,7.33,11.73
0.25,0.4,1.88,-1.4,0.59,-0.51,7.39,12.0
