accelX,accelY,accelZ,gyroX,gyroY,gyroZ,pitch,roll
-0.0,-0.04,1.04,-0.13,-0.07,-0.01,-0.12,-2.07
0.01,-0.04,1.04,-0.13,-0.09,0.0,0.58,-2.48
0.01,-0.04,1.03,-0.12,-0.1,0.01,0.7,-2.29
0.01,-0.04,1.04,-0.06,0.02,-0.14,0.31,-2.0
0.01,-0.05,1.06,-0.12,-0.1,0.02,0.49,-2.78
0.01,-0.05,1.06,-0.12,-0.1,0.03,0.47,-2.95
0.01,-0.05,1.07,-0.12,-0.11,0.01,0.42,-2.82
0.02,-0.05,1.05,-0.11,-0.11,0.02,1.16,-2.59
0.03,-0.06,1.05,-0.09,-0.09,0.02,1.4,-3.09
0.02,-0.05,1.06,-0.1,-0.1,0.04,1.32,-2.69
0.02,-0.05,1.06,-0.07,-0.1,0.04,1.25,-2.86
0.03,-0.05,1.06,-0.07,-0.1,0.03,1.64,-2.83
0.02,-0.06,1.06,-0.09,-0.09,0.03,1.04,-3.02
0.03,-0.05,1.05,-0.1,-0.07,0.03,1.5,-2.71
0.03,-0.05,1.05,-0.04,0.04,-0.11,1.4,-2.69
0.04,-0.05,1.05,-0.1,-0.09,0.03,2.01,-2.53
0.04,-0.03,1.05,-0.12,-0.06,0.04,2.2,-1.89
0.04,-0.04,1.04,-0.09,-0.08,0.06,2.27,-2.02
0.05,-0.04,1.04,-0.08,-0.09,0.05,2.71,-2.02
0.05,-0.04,1.04,-0.08,-0.11,0.07,2.65,-2.17
0.05,-0.04,1.04,-0.06,-0.12,0.06,2.98,-2.18
0.06,-0.04,1.05,-0.03,-0.14,0.06,3.38,-2.11
0.06,-0.04,1.06,0.01,-0.16,0.05,3.27,-2.21
0.06,-0.04,1.06,0.01,-0.17,0.03,3.41,-2.27
0.06,-0.05,1.06,0.07,-0.18,0.01,3.31,-2.67
0.06,-0.05,1.08,0.07,-0.18,-0.01,3.43,-2.89
0.06,-0.07,1.08,0.11,-0.19,-0.01,3.42,-3.56
0.06,-0.09,1.08,0.13,-0.19,-0.04,3.22,-4.54
0.06,-0.1,1.08,0.12,-0.17,-0.05,2.95,-5.26
0.05,-0.11,1.08,0.1,-0.13,-0.06,2.86,-6.04
0.04,-0.12,1.06,0.06,-0.11,-0.05,2.4,-6.41
0.04,-0.13,1.03,0.01,-0.11,-0.04,2.41,-7.05
0.04,-0.13,1.01,-0.05,-0.1,-0.03,2.27,-7.1
0.03,-0.11,1.0,-0.11,-0.1,-0.0,1.71,-6.53
0.04,-0.1,1.0,-0.17,-0.1,0.02,2.29,-5.81
0.04,-0.08,1.03,-0.21,-0.1,0.02,2.39,-4.62
0.05,-0.07,1.06,-0.24,-0.11,0.03,2.7,-3.95
0.06,-0.06,1.08,-0.25,-0.08,0.03,2.95,-3.28
0.05,-0.05,1.09,-0.25,-0.09,0.02,2.6,-2.42
0.05,-0.04,1.09,-0.24,-0.1,0.02,2.82,-1.87
0.06,-0.03,1.09,-0.22,-0.1,-0.01,3.0,-1.75
0.07,-0.02,1.08,-0.22,-0.07,-0.0,3.74,-0.81
0.07,-0.01,1.08,-0.2,-0.09,0.0,3.82,-0.68
0.08,-0.01,1.09,-0.18,-0.08,0.01,4.28,-0.44
0.08,-0.01,1.09,-0.14,-0.11,0.02,4.35,-0.53
0.08,-0.02,1.1,-0.14,-0.09,0.02,3.95,-1.04
0.07,-0.02,1.09,-0.13,-0.1,0.03,3.44,-1.11
0.06,-0.02,1.1,-0.04,0.01,-0.11,3.25,-1.04
0.06,-0.02,1.11,-0.06,-0.14,0.03,3.17,-1.07
0.06,-0.02,1.12,-0.03,-0.13,0.01,3.21,-1.15
0.06,-0.01,1.12,-0.02,-0.13,0.01,3.29,-0.72
0.06,-0.02,1.12,0.03,-0.15,0.0,3.05,-1.07
0.06,-0.02,1.11,0.07,-0.15,-0.01,3.11,-0.85
0.04,-0.01,1.1,0.08,-0.15,-0.02,2.29,-0.53
0.04,-0.02,1.11,0.11,-0.14,-0.03,2.17,-1.28
0.05,-0.02,1.11,0.12,-0.14,-0.04,2.36,-1.24
0.04,-0.02,1.11,0.14,-0.12,-0.05,2.21,-1.21
0.04,-0.03,1.08,0.13,-0.1,-0.05,2.26,-1.58
0.06,-0.03,1.07,0.12,-0.1,-0.03,3.08,-1.37
0.04,-0.04,1.08,0.14,-0.1,-0.02,2.21,-1.98
0.03,-0.05,1.07,0.13,-0.09,-0.01,1.83,-2.57
0.04,-0.05,1.07,0.11,-0.07,-0.03,2.19,-2.63
0.04,-0.06,1.06,0.08,-0.06,-0.02,2.26,-3.11
0.04,-0.06,1.07,0.07,-0.07,-0.03,2.33,-3.43
0.04,-0.07,1.08,0.03,-0.03,-0.06,2.16,-3.64
0.05,-0.06,1.08,-0.0,-0.07,-0.04,2.38,-3.39
0.05,-0.06,1.08,-0.01,-0.04,-0.07,2.79,-3.29
0.05,-0.05,1.08,-0.03,-0.04,-0.07,2.72,-2.61
0.06,-0.05,1.09,-0.04,-0.04,-0.09,3.02,-2.52
0.05,-0.04,1.1,-0.05,-0.03,-0.1,2.54,-2.06
0.05,-0.03,1.1,-0.06,-0.03,-0.11,2.82,-1.49
0.06,-0.02,1.1,-0.09,-0.02,-0.11,3.11,-0.87
0.06,-0.01,1.1,-0.08,0.0,-0.12,2.95,-0.48
0.05,0.0,1.1,-0.08,0.01,-0.1,2.87,0.14
0.05,0.01,1.09,-0.1,0.02,-0.09,2.42,0.5
0.06,0.02,1.1,-0.08,0.02,-0.08,2.93,0.96
0.05,0.03,1.1,-0.06,0.0,-0.03,2.57,1.38
0.05,0.04,1.11,-0.04,0.03,-0.03,2.43,1.86
0.05,0.04,1.11,-0.03,0.04,-0.02,2.34,1.92
