accelX,accelY,accelZ,gyroX,gyroY,gyroZ,pitch,roll
0.02,0.07,1.01,-0.06,0.11,0.03,1.27,4.16
0.03,0.07,1.02,-0.08,0.14,0.03,1.51,4.06
0.03,0.07,1.02,-0.06,0.1,0.04,1.69,4.15
0.03,0.07,1.02,-0.06,0.09,0.03,1.47,3.7
0.03,0.07,1.02,-0.04,0.07,0.02,1.53,3.88
0.03,0.07,1.03,-0.03,0.06,0.01,1.46,3.76
0.03,0.07,1.03,-0.01,0.07,0.01,1.45,3.77
0.03,0.07,1.02,0.02,0.04,0.01,1.74,3.79
0.04,0.07,1.01,0.02,0.02,0.0,2.29,4.05
0.05,0.07,1.0,0.02,0.02,-0.02,2.85,3.96
0.05,0.07,1.0,-0.0,0.0,-0.01,3.07,3.74
0.05,0.07,1.0,0.01,-0.01,-0.01,2.78,3.76
0.06,0.07,1.01,0.01,-0.02,-0.03,3.2,3.75
0.05,0.06,1.02,-0.01,0.0,-0.04,2.9,3.55
0.05,0.06,1.01,-0.01,-0.01,-0.04,3.02,3.25
0.05,0.05,1.01,-0.01,-0.03,-0.04,2.63,3.02
0.05,0.06,1.0,-0.03,-0.03,-0.03,2.64,3.15
0.04,0.06,1.0,-0.05,-0.02,-0.02,2.39,3.22
0.04,0.05,1.01,-0.08,-0.02,-0.01,2.29,2.99
0.04,0.05,1.01,-0.07,-0.01,-0.01,2.46,2.59
0.03,0.05,1.01,-0.07,-0.03,-0.01,1.92,2.92
0.02,0.06,1.01,-0.08,-0.02,-0.01,1.34,3.2
0.02,0.05,1.02,-0.1,-0.01,0.01,1.0,2.92
0.02,0.05,1.03,-0.08,-0.01,0.02,0.85,2.65
0.01,0.05,1.03,-0.06,-0.03,0.02,0.52,3.02
0.01,0.05,1.02,-0.05,-0.03,0.02,0.79,2.85
0.01,0.06,1.02,-0.06,-0.03,0.03,0.69,3.11
0.02,0.06,1.03,-0.05,-0.03,0.04,0.91,3.47
0.03,0.06,1.03,-0.03,-0.05,0.03,1.39,3.1
0.03,0.06,1.03,-0.02,-0.05,0.03,1.69,3.45
0.04,0.06,1.03,-0.01,-0.05,0.03,2.11,3.33
0.04,0.06,1.03,0.0,-0.06,0.01,2.24,3.51
0.04,0.06,1.03,0.02,-0.09,0.01,2.28,3.55
0.04,0.06,1.04,0.02,-0.07,-0.0,2.05,3.44
0.04,0.06,1.04,0.04,-0.08,-0.01,2.13,3.18
0.04,0.07,1.04,0.04,-0.08,-0.02,2.01,3.6
0.03,0.06,1.04,0.05,-0.08,-0.02,1.41,3.34
0.03,0.06,1.03,0.06,-0.08,-0.04,1.67,3.22
0.03,0.07,1.04,0.06,-0.09,-0.03,1.41,3.83
0.03,0.07,1.03,0.06,-0.11,-0.02,1.84,3.93
0.03,0.07,1.01,0.05,-0.11,-0.02,1.49,3.7
0.03,0.06,1.02,0.04,-0.09,-0.02,1.77,3.63
0.03,0.07,1.03,0.02,-0.09,-0.02,1.86,3.89
0.04,0.07,1.02,0.0,-0.1,-0.01,2.14,3.77
0.03,0.08,1.02,-0.0,-0.1,-0.02,1.55,4.37
0.03,0.07,1.02,-0.03,-0.11,-0.01,1.8,4.16
0.03,0.07,1.02,-0.05,-0.1,-0.02,1.78,3.79
0.02,0.06,1.02,-0.06,-0.09,-0.01,1.02,3.55
0.01,0.07,1.03,-0.07,-0.11,-0.01,0.39,3.75
-0.01,0.07,1.04,-0.06,-0.11,-0.01,-0.58,3.59
-0.02,0.06,1.06,-0.07,-0.11,0.0,-0.98,3.43
-0.02,0.06,1.06,-0.07,-0.11,0.02,-0.95,3.33
-0.01,0.06,1.07,-0.04,-0.12,0.02,-0.63,3.16
-0.01,0.05,1.08,-0.03,-0.12,0.02,-0.62,2.85
-0.01,0.06,1.09,-0.04,-0.09,0.02,-0.4,2.91
-0.0,0.06,1.09,-0.01,-0.1,0.03,-0.23,2.92
0.0,0.05,1.07,0.0,-0.1,0.02,0.15,2.88
0.0,0.06,1.07,0.0,-0.1,0.02,0.13,3.25
-0.0,0.06,1.05,-0.01,-0.06,0.03,-0.17,3.39
-0.0,0.07,1.05,-0.03,-0.05,0.05,-0.16,3.64
0.0,0.06,1.05,-0.01,-0.05,0.05,0.25,3.51
0.01,0.06,1.07,-0.03,-0.03,0.06,0.47,3.07
0.02,0.06,1.08,-0.04,0.03,0.05,1.01,2.98
0.02,0.06,1.09,-0.03,0.03,0.04,0.97,2.95
0.02,0.06,1.08,0.01,0.01,0.01,0.87,3.08
0.01,0.06,1.07,-0.0,0.01,-0.01,0.46,3.14
-0.0,0.07,1.06,0.01,0.0,-0.01,-0.2,3.55
-0.01,0.07,1.04,0.02,0.01,-0.01,-0.81,3.69
-0.02,0.07,1.02,0.03,-0.01,-0.01,-1.16,3.69
-0.02,0.07,1.01,0.04,-0.03,0.01,-0.93,3.89
-0.02,0.06,1.02,0.02,-0.01,0.02,-0.95,3.61
-0.01,0.07,1.02,0.02,-0.03,0.04,-0.43,3.99
0.0,0.08,1.01,0.08,0.11,-0.11,0.26,4.27
0.01,0.07,1.02,0.0,-0.04,0.04,0.67,4.1
0.02,0.07,1.02,-0.0,-0.04,0.04,1.22,4.09
0.02,0.07,1.02,-0.07,-0.12,0.1,1.37,3.92
0.03,0.07,1.02,-0.04,-0.07,0.04,1.44,4.1
0.02,0.07,1.03,-0.04,-0.08,0.03,1.3,3.95
0.02,0.07,1.03,-0.06,-0.04,0.01,1.23,3.68
0.01,0.06,1.04,-0.05,-0.04,0.01,0.59,3.54
0.0,0.07,1.06,-0.05,-0.04,-0.0,0.22,3.61
0.0,0.06,1.08,-0.03,-0.04,-0.02,0.01,2.97
-0.01,0.05,1.1,-0.03,0.01,-0.03,-0.38,2.5
-0.02,0.05,1.12,-0.02,0.04,-0.04,-0.83,2.44
-0.03,0.05,1.1,0.01,0.04,-0.05,-1.53,2.7
-0.05,0.06,1.07,0.05,0.04,-0.06,-2.78,2.93
-0.06,0.05,1.06,0.13,0.18,-0.19,-3.01,2.9
-0.06,0.06,1.05,0.08,0.04,-0.01,-3.21,3.29
-0.05,0.07,1.04,0.09,0.02,0.01,-3.02,3.66
-0.03,0.07,1.05,0.11,0.02,0.03,-1.89,3.8
-0.02,0.07,1.04,0.09,0.03,0.04,-0.92,3.86
0.01,0.07,1.04,0.08,0.03,0.05,0.32,3.86
0.02,0.07,1.04,0.07,0.03,0.06,1.34,3.74
0.03,0.07,1.04,0.06,0.03,0.06,1.54,3.94
0.03,0.07,1.05,0.03,0.06,0.04,1.77,3.96
0.03,0.07,1.06,0.02,0.07,0.04,1.59,4.01
0.02,0.07,1.06,0.02,0.07,0.03,1.1,3.98
0.01,0.07,1.06,0.01,0.03,0.02,0.41,3.82
-0.01,0.06,1.06,0.01,0.05,0.02,-0.28,3.5
-0.01,0.06,1.06,-0.01,0.06,0.02,-0.32,3.43
-0.01,0.07,1.05,0.01,0.03,0.03,-0.37,3.76
-0.01,0.07,1.05,0.01,0.02,0.04,-0.54,3.61
-0.01,0.06,1.05,0.01,0.04,0.03,-0.5,3.31
-0.0,0.06,1.06,0.0,0.03,0.04,-0.19,3.52
-0.0,0.06,1.06,-0.0,0.03,0.03,-0.2,3.36
-0.01,0.06,1.05,0.04,0.16,-0.12,-0.29,3.33
-0.01,0.06,1.05,0.05,0.13,-0.1,-0.74,3.48
-0.02,0.07,1.05,-0.03,-0.0,0.03,-1.28,3.71
-0.03,0.07,1.06,-0.04,-0.03,0.04,-1.66,3.86
-0.03,0.07,1.08,-0.05,-0.05,0.05,-1.33,3.93
-0.03,0.08,1.11,-0.08,-0.01,0.05,-1.42,3.94
-0.03,0.08,1.14,-0.09,0.03,0.04,-1.43,3.95
-0.04,0.08,1.17,-0.09,0.06,0.03,-2.01,3.95
-0.06,0.09,1.2,-0.07,0.09,0.01,-2.71,4.46
-0.07,0.1,1.21,-0.07,0.13,-0.01,-3.28,4.9
-0.09,0.12,1.22,-0.04,0.14,-0.02,-4.25,5.43
-0.09,0.12,1.22,-0.03,0.14,-0.03,-4.18,5.66
-0.1,0.12,1.22,-0.01,0.15,-0.03,-4.83,5.64
-0.11,0.12,1.22,-0.01,0.18,-0.06,-5.3,5.72
-0.13,0.13,1.22,-0.03,0.2,-0.07,-5.93,5.96
-0.16,0.14,1.22,-0.01,0.22,-0.07,-7.42,6.49
-0.18,0.14,1.23,-0.0,0.23,-0.05,-8.24,6.54
-0.2,0.15,1.23,0.01,0.27,-0.03,-8.97,6.85
-0.2,0.15,1.25,0.02,0.32,-0.0,-8.81,6.9
-0.19,0.14,1.29,0.04,0.35,0.01,-8.3,6.25
-0.17,0.15,1.3,0.05,0.39,0.03,-7.46,6.71
-0.15,0.15,1.33,0.08,0.43,0.02,-6.42,6.46
-0.13,0.14,1.35,0.09,0.48,-0.0,-5.5,6.1
-0.11,0.15,1.35,0.13,0.53,-0.01,-4.59,6.28
-0.09,0.15,1.35,0.15,0.58,-0.04,-3.88,6.15
-0.07,0.14,1.35,0.16,0.65,-0.07,-2.93,6.02
-0.05,0.15,1.36,0.19,0.71,-0.11,-2.27,6.1
-0.05,0.15,1.35,0.17,0.77,-0.15,-1.93,6.33
-0.05,0.15,1.33,0.17,0.82,-0.18,-2.35,6.31
-0.04,0.14,1.31,0.16,0.9,-0.21,-1.72,6.26
-0.05,0.13,1.3,0.15,0.94,-0.24,-2.07,5.63
-0.05,0.14,1.29,0.14,0.98,-0.26,-2.06,6.2
-0.06,0.14,1.28,0.19,1.19,-0.44,-2.74,6.35
-0.07,0.14,1.27,0.1,1.06,-0.29,-3.34,6.49
-0.08,0.14,1.27,0.1,1.09,-0.28,-3.57,6.2
-0.07,0.14,1.28,0.1,1.11,-0.27,-3.27,6.19
-0.07,0.12,1.29,0.11,1.11,-0.28,-2.91,5.44
-0.06,0.11,1.29,0.12,1.14,-0.3,-2.47,4.72
-0.04,0.11,1.29,0.13,1.17,-0.32,-1.9,4.89
-0.04,0.11,1.29,0.14,1.18,-0.32,-1.91,4.95
-0.04,0.12,1.29,0.15,1.18,-0.32,-1.57,5.27
-0.03,0.11,1.3,0.15,1.19,-0.33,-1.33,4.98
-0.02,0.12,1.31,0.16,1.18,-0.35,-0.71,5.11
-0.0,0.11,1.34,0.17,1.16,-0.37,-0.13,4.71
0.01,0.11,1.37,0.17,1.13,-0.4,0.48,4.64
0.03,0.11,1.41,0.18,1.14,-0.44,1.03,4.32
0.04,0.1,1.43,0.18,1.16,-0.48,1.44,4.05
0.05,0.09,1.45,0.18,1.18,-0.53,1.82,3.65
0.05,0.09,1.47,0.17,1.22,-0.57,1.83,3.38
0.05,0.08,1.48,0.16,1.27,-0.62,2.11,3.21
0.06,0.08,1.5,0.15,1.32,-0.66,2.23,2.96
0.06,0.07,1.51,0.15,1.37,-0.7,2.22,2.54
0.07,0.05,1.53,0.13,1.46,-0.75,2.78,1.8
0.08,0.03,1.55,0.12,1.55,-0.82,3.0,1.22
0.07,0.02,1.54,0.12,1.63,-0.86,2.5,0.86
0.06,0.01,1.52,0.1,1.72,-0.9,2.26,0.57
0.05,0.01,1.49,0.08,1.8,-0.91,2.06,0.21
0.04,-0.01,1.48,0.05,1.87,-0.92,1.73,-0.38
0.04,-0.03,1.48,0.02,1.95,-0.94,1.5,-0.98
0.03,-0.04,1.48,-0.02,1.99,-0.93,1.23,-1.4
0.03,-0.05,1.49,-0.05,2.05,-0.95,1.06,-2.08
0.04,-0.07,1.49,-0.09,2.12,-0.94,1.48,-2.81
0.04,-0.1,1.48,-0.1,2.19,-0.94,1.62,-3.98
0.03,-0.12,1.46,-0.13,2.27,-0.93,1.03,-4.59
0.0,-0.12,1.47,-0.16,2.34,-0.91,0.0,-4.76
-0.03,-0.13,1.48,-0.16,2.41,-0.86,-1.2,-5.09
-0.04,-0.14,1.49,-0.17,2.52,-0.81,-1.51,-5.53
-0.04,-0.16,1.5,-0.16,2.59,-0.74,-1.56,-6.19
-0.03,-0.18,1.5,-0.13,2.64,-0.68,-1.31,-6.74
-0.02,-0.19,1.5,-0.11,2.69,-0.61,-0.91,-7.11
-0.01,-0.21,1.51,-0.08,2.77,-0.56,-0.41,-7.81
0.01,-0.23,1.52,-0.03,2.82,-0.49,0.51,-8.64
0.04,-0.24,1.54,0.02,2.88,-0.43,1.48,-8.9
0.09,-0.26,1.56,0.1,2.92,-0.39,3.29,-9.31
0.13,-0.28,1.56,0.2,2.95,-0.37,4.58,-10.28
0.16,-0.31,1.54,0.32,2.98,-0.36,5.81,-11.23
0.16,-0.31,1.51,0.42,3.0,-0.36,5.85,-11.45
0.14,-0.29,1.46,0.54,3.01,-0.36,5.54,-10.97
0.15,-0.28,1.41,0.62,3.02,-0.33,5.85,-11.28
0.13,-0.28,1.36,0.68,3.04,-0.29,5.51,-11.64
0.14,-0.28,1.3,0.73,3.08,-0.26,6.0,-12.15
0.14,-0.27,1.24,0.74,3.14,-0.2,6.19,-12.22
0.14,-0.26,1.21,0.78,3.18,-0.15,6.64,-12.08
0.16,-0.25,1.18,0.77,3.23,-0.07,7.52,-11.68
0.2,-0.22,1.16,0.79,3.25,-0.0,9.47,-10.85
0.26,-0.23,1.12,0.79,3.26,0.05,12.79,-11.35
0.31,-0.22,1.07,0.77,3.29,0.08,15.76,-11.33
0.36,-0.21,1.01,0.73,3.31,0.08,19.36,-10.96
0.38,-0.19,0.94,0.7,3.29,0.08,21.73,-10.68
0.39,-0.18,0.88,0.62,3.28,0.05,23.42,-10.62
0.38,-0.17,0.86,0.52,3.29,0.05,23.27,-10.16
0.38,-0.16,0.88,0.43,3.31,0.04,22.83,-9.78
0.39,-0.15,0.9,0.38,3.32,0.04,22.87,-8.97
0.41,-0.17,0.92,0.35,3.28,0.04,23.41,-9.47
0.43,-0.19,0.94,0.33,3.24,0.02,24.16,-10.27
0.47,-0.2,0.96,0.35,3.18,0.0,25.57,-10.78
0.5,-0.22,0.98,0.39,3.1,-0.03,26.32,-11.11
0.5,-0.22,0.96,0.45,3.04,-0.08,26.65,-11.74
0.46,-0.22,0.93,0.49,3.01,-0.12,25.78,-12.04
0.41,-0.19,0.87,0.52,3.0,-0.15,24.6,-11.05
0.35,-0.15,0.81,0.52,2.99,-0.14,23.06,-9.91
0.31,-0.12,0.77,0.48,3.0,-0.12,21.84,-8.46
0.29,-0.09,0.75,0.43,2.98,-0.09,21.1,-6.39
0.28,-0.08,0.74,0.37,2.96,-0.03,20.53,-5.69
0.27,-0.09,0.74,0.36,2.91,0.02,20.23,-6.48
0.28,-0.1,0.75,0.34,2.88,0.07,20.6,-7.04
0.3,-0.09,0.75,0.35,2.86,0.12,21.6,-6.53
0.32,-0.09,0.73,0.34,2.85,0.18,23.31,-6.72
0.34,-0.1,0.7,0.35,2.84,0.21,25.53,-7.52
0.37,-0.11,0.71,0.39,2.8,0.23,27.05,-7.65
0.42,-0.12,0.72,0.42,2.86,0.23,29.64,-8.29
0.45,-0.13,0.7,0.48,2.88,0.21,32.7,-8.68
0.46,-0.14,0.67,0.52,2.92,0.18,33.86,-9.63
0.44,-0.13,0.65,0.59,2.93,0.13,33.18,-9.24
0.39,-0.11,0.65,0.66,2.94,0.08,31.04,-7.92
0.35,-0.07,0.64,0.7,2.92,0.07,28.57,-5.59
0.31,-0.03,0.61,0.74,2.86,0.06,27.19,-2.54
0.29,0.01,0.57,0.76,2.77,0.05,26.71,0.58
0.26,0.03,0.53,0.74,2.7,0.04,26.3,2.48
0.23,0.04,0.5,0.71,2.66,0.02,24.73,4.44
0.21,0.06,0.5,0.67,2.63,0.03,23.15,6.62
0.19,0.09,0.49,0.61,2.61,0.03,21.01,9.96
0.18,0.12,0.47,0.55,2.58,0.05,20.49,12.8
0.18,0.12,0.46,0.45,2.62,0.06,20.29,13.18
0.17,0.12,0.46,0.39,2.66,0.06,19.66,13.25
0.15,0.12,0.48,0.34,2.65,0.05,16.62,13.89
0.14,0.16,0.52,0.29,2.63,0.08,14.33,16.83
0.14,0.09,0.47,0.23,2.65,0.08,16.38,10.35
0.15,0.07,0.53,0.21,2.61,0.08,15.26,7.66
0.13,0.08,0.58,0.31,2.75,-0.08,13.04,7.6
0.14,0.1,0.59,0.26,2.53,0.06,12.92,9.14
0.14,0.09,0.57,0.31,2.46,0.07,13.22,9.02
0.15,0.09,0.56,0.36,2.42,0.06,14.69,8.63
0.15,0.09,0.56,0.43,2.35,0.05,15.25,8.39
0.16,0.1,0.57,0.5,2.31,0.03,15.37,10.06
0.14,0.11,0.56,0.55,2.3,-0.01,14.01,10.94
0.14,0.16,0.56,0.6,2.26,-0.02,13.47,15.88
0.09,0.17,0.5,0.67,2.18,-0.05,10.03,18.41
0.04,0.22,0.47,0.68,2.14,-0.1,4.52,24.73
-0.01,0.25,0.46,0.65,2.12,-0.14,-1.21,28.5
-0.05,0.28,0.46,0.62,2.07,-0.14,-5.42,31.53
-0.08,0.3,0.46,0.56,2.06,-0.16,-8.16,32.33
-0.1,0.33,0.47,0.5,2.02,-0.15,-10.39,34.36
