accelX,accelY,accelZ,gyroX,gyroY,gyroZ,pitch,roll
0.1,0.03,1.05,-0.14,0.0,0.03,5.41,1.68
0.1,0.04,1.05,-0.14,-0.02,0.04,5.37,1.95
0.1,0.03,1.05,-0.13,-0.02,0.03,5.35,1.81
0.1,0.03,1.05,-0.15,-0.01,0.02,5.64,1.73
0.1,0.03,1.04,-0.16,-0.02,0.03,5.67,1.69
0.09,0.04,1.05,-0.15,-0.03,0.02,5.15,1.93
0.1,0.03,1.04,-0.15,-0.04,0.0,5.43,1.67
0.09,0.03,1.05,-0.16,-0.04,-0.0,5.05,1.69
0.08,0.02,1.03,-0.16,-0.04,0.01,4.58,1.38
0.08,0.03,1.04,-0.16,-0.05,0.0,4.51,1.87
0.07,0.04,1.03,-0.16,-0.06,0.0,4.04,2.03
0.08,0.03,1.03,-0.16,-0.06,0.01,4.18,1.94
0.07,0.04,1.03,-0.16,-0.06,0.02,3.79,2.44
0.07,0.04,1.03,-0.16,-0.07,0.02,3.92,2.34
0.06,0.04,1.03,-0.15,-0.08,0.02,3.5,2.47
0.06,0.04,1.04,-0.16,-0.08,0.01,3.53,2.37
0.07,0.05,1.05,-0.17,-0.06,0.03,3.64,2.69
0.06,0.05,1.04,-0.16,-0.07,0.02,3.36,2.57
0.06,0.05,1.05,-0.16,-0.08,0.02,3.26,2.82
0.07,0.04,1.05,-0.15,-0.08,0.02,3.75,2.38
0.06,0.04,1.04,-0.15,-0.08,0.0,3.3,2.35
0.06,0.06,1.04,-0.16,-0.09,0.01,3.33,3.25
0.06,0.06,1.03,-0.17,-0.1,0.0,3.39,3.15
0.06,0.05,1.02,-0.17,-0.09,-0.01,3.36,2.61
0.05,0.05,1.04,-0.18,-0.09,-0.0,2.63,2.76
0.05,0.04,1.04,-0.17,-0.11,-0.0,2.65,2.43
0.04,0.04,1.04,-0.18,-0.11,0.0,2.37,2.37
0.02,0.03,1.03,-0.19,-0.1,-0.01,1.06,1.91
0.02,0.04,1.03,-0.2,-0.09,-0.0,1.03,2.43
