accelX,accelY,accelZ,gyroX,gyroY,gyroZ,pitch,roll
-0.03,-0.05,0.95,0.04,0.04,-0.01,-1.63,-3.02
-0.02,-0.05,0.95,0.02,0.04,0.0,-1.37,-2.97
-0.02,-0.06,0.95,0.02,0.05,0.02,-1.46,-3.43
-0.02,-0.06,0.95,-0.0,0.05,0.04,-1.32,-3.7
-0.03,-0.06,0.95,0.05,0.17,-0.09,-1.56,-3.8
-0.02,-0.06,0.95,-0.02,0.05,0.06,-1.38,-3.46
-0.03,-0.05,0.94,-0.06,0.06,0.08,-1.74,-2.97
-0.03,-0.04,0.93,-0.07,0.05,0.09,-1.81,-2.43
-0.03,-0.03,0.92,-0.05,0.02,0.1,-2.06,-1.87
-0.04,-0.02,0.91,-0.07,0.01,0.12,-2.4,-1.15
-0.04,-0.01,0.9,-0.09,0.01,0.11,-2.56,-0.68
-0.04,-0.0,0.9,-0.1,0.01,0.12,-2.49,-0.2
-0.05,0.0,0.9,-0.11,-0.0,0.1,-2.91,0.07
-0.05,-0.0,0.89,-0.11,-0.01,0.1,-2.94,-0.18
-0.04,-0.0,0.89,-0.14,0.0,0.09,-2.82,-0.11
-0.04,0.01,0.89,-0.14,-0.0,0.08,-2.84,0.36
-0.05,0.01,0.9,-0.13,-0.02,0.08,-2.96,0.53
-0.05,0.01,0.9,-0.14,-0.02,0.07,-3.13,0.4
-0.05,0.0,0.89,-0.14,0.0,0.07,-3.34,0.25
-0.05,0.0,0.9,-0.14,0.0,0.06,-3.28,0.23
-0.05,-0.0,0.89,-0.15,0.02,0.06,-3.33,-0.02
-0.05,-0.0,0.89,-0.14,0.0,0.05,-3.3,-0.26
-0.06,-0.01,0.9,-0.17,0.02,0.04,-3.53,-0.37
-0.06,-0.01,0.89,-0.15,0.02,0.04,-3.6,-0.59
-0.06,-0.01,0.9,-0.09,0.14,-0.1,-3.59,-0.84
-0.05,-0.02,0.9,-0.15,-0.0,0.04,-3.32,-0.99
-0.05,-0.02,0.9,-0.16,0.02,0.03,-3.3,-1.53
-0.05,-0.03,0.91,-0.16,0.01,0.03,-3.19,-1.79
-0.06,-0.04,0.92,-0.15,-0.0,0.03,-3.62,-2.7
-0.04,-0.05,0.92,-0.18,-0.01,0.03,-2.69,-3.15
-0.04,-0.06,0.93,-0.19,-0.01,0.03,-2.56,-3.66
-0.04,-0.06,0.94,-0.21,-0.0,0.05,-2.68,-3.45
-0.05,-0.05,0.95,-0.21,-0.03,0.07,-2.97,-3.16
-0.04,-0.04,0.96,-0.22,-0.03,0.08,-2.39,-2.54
-0.04,-0.04,0.96,-0.24,-0.01,0.09,-2.21,-2.38
-0.04,-0.02,0.96,-0.24,-0.01,0.1,-2.41,-1.5
-0.04,-0.03,0.95,-0.23,-0.03,0.11,-2.29,-1.57
-0.04,-0.01,0.95,-0.12,0.2,-0.15,-2.65,-0.74
-0.05,0.01,0.95,-0.22,-0.03,0.09,-2.75,0.33
-0.05,0.0,0.95,-0.24,-0.05,0.1,-2.98,0.11
-0.04,0.01,0.95,-0.23,-0.04,0.09,-2.57,0.42
-0.06,0.01,0.94,-0.24,-0.06,0.07,-3.61,0.35
-0.06,0.0,0.95,-0.25,-0.04,0.06,-3.36,0.03
-0.06,-0.02,0.95,-0.22,-0.06,0.05,-3.64,-0.97
-0.06,-0.03,0.96,-0.26,-0.1,0.07,-3.8,-1.72
-0.07,-0.04,0.98,-0.23,-0.08,0.06,-4.33,-2.37
-0.07,-0.04,0.99,-0.22,-0.07,0.06,-4.11,-2.31
-0.08,-0.04,1.0,-0.22,-0.06,0.08,-4.37,-2.39
-0.07,-0.04,1.01,-0.21,-0.07,0.1,-4.15,-2.07
-0.07,-0.03,1.01,-0.19,-0.06,0.11,-3.95,-1.69
-0.07,-0.02,1.01,-0.17,-0.05,0.13,-3.97,-1.09
-0.07,-0.0,1.0,-0.15,-0.0,0.14,-4.05,-0.17
-0.07,0.0,0.99,-0.13,0.01,0.14,-3.81,0.22
-0.07,0.01,0.98,-0.1,0.01,0.14,-3.87,0.34
-0.06,0.0,0.98,-0.09,0.02,0.14,-3.66,0.16
-0.06,0.0,0.98,-0.08,0.06,0.13,-3.5,0.09
-0.06,-0.01,0.98,-0.06,0.06,0.13,-3.23,-0.32
-0.06,-0.01,0.97,-0.05,0.06,0.12,-3.28,-0.49
-0.05,-0.01,0.97,-0.03,0.05,0.12,-3.09,-0.46
-0.05,-0.02,0.97,-0.05,0.07,0.12,-3.06,-1.0
-0.04,-0.02,0.98,-0.04,0.07,0.13,-2.62,-1.05
-0.04,-0.02,0.98,-0.03,0.07,0.13,-2.19,-1.43
-0.04,-0.03,0.98,-0.01,0.06,0.15,-2.23,-1.89
-0.05,-0.03,0.98,-0.02,0.08,0.16,-2.64,-1.97
-0.05,-0.03,0.97,-0.04,0.08,0.18,-2.66,-1.74
-0.04,-0.03,0.97,-0.0,0.12,0.14,-2.48,-1.59
-0.03,-0.02,0.96,-0.03,0.04,0.22,-1.88,-0.93
-0.02,-0.01,0.94,-0.04,0.06,0.22,-1.46,-0.43
-0.02,0.01,0.94,0.0,0.06,0.23,-1.06,0.31
-0.01,0.01,0.92,-0.02,0.06,0.24,-0.88,0.54
-0.01,0.01,0.89,-0.01,0.06,0.24,-0.36,0.84
-0.0,0.02,0.88,-0.02,0.06,0.23,-0.31,1.28
0.0,0.03,0.87,-0.05,0.07,0.22,0.02,1.7
0.0,0.03,0.87,-0.07,0.07,0.2,0.1,1.82
0.01,0.03,0.86,-0.07,0.04,0.19,0.38,1.69
0.01,0.03,0.86,-0.09,0.03,0.19,0.49,1.74
0.01,0.02,0.86,-0.12,0.01,0.17,0.47,1.37
0.01,0.02,0.86,-0.16,-0.03,0.18,0.54,1.02
0.01,0.01,0.86,-0.19,-0.08,0.17,0.43,0.49
0.0,0.0,0.88,-0.24,-0.11,0.17,0.11,0.29
0.0,0.0,0.9,-0.27,-0.17,0.19,0.14,0.31
0.0,-0.0,0.92,-0.3,-0.24,0.2,0.25,-0.05
-0.0,0.01,0.94,-0.32,-0.31,0.23,-0.22,0.48
-0.01,0.01,0.94,-0.32,-0.35,0.25,-0.83,0.9
-0.02,0.02,0.94,-0.35,-0.36,0.25,-1.02,1.02
-0.03,0.01,0.95,-0.38,-0.4,0.27,-1.68,0.39
-0.03,0.01,0.96,-0.36,-0.43,0.28,-1.79,0.65
-0.04,0.02,0.96,-0.37,-0.45,0.29,-2.29,1.35
-0.06,0.05,0.94,-0.37,-0.43,0.3,-3.45,2.97
-0.06,0.05,0.97,-0.37,-0.45,0.3,-3.68,3.03
-0.06,0.07,0.96,-0.37,-0.41,0.28,-3.32,4.05
-0.06,0.06,0.98,-0.35,-0.39,0.27,-3.38,3.74
-0.06,0.06,0.98,-0.33,-0.33,0.27,-3.68,3.62
-0.06,0.08,0.96,-0.31,-0.31,0.26,-3.75,4.93
-0.09,0.09,0.94,-0.22,-0.14,0.09,-5.42,5.36
-0.09,0.09,0.94,-0.23,-0.25,0.19,-5.5,5.22
-0.09,0.08,0.94,-0.22,-0.21,0.16,-5.23,4.79
-0.08,0.08,0.94,-0.19,-0.19,0.14,-5.1,4.62
-0.09,0.07,0.94,-0.18,-0.16,0.12,-5.23,4.38
-0.08,0.07,0.94,-0.16,-0.14,0.09,-4.67,4.03
-0.08,0.06,0.95,-0.15,-0.12,0.07,-4.71,3.66
-0.07,0.05,0.95,-0.13,-0.11,0.06,-4.06,3.27
-0.07,0.05,0.95,-0.14,-0.11,0.05,-4.49,2.78
-0.08,0.04,0.95,-0.08,0.03,-0.1,-4.71,2.53
-0.09,0.04,0.94,-0.14,-0.09,0.01,-5.22,2.36
