accelX,accelY,accelZ,gyroX,gyroY,gyroZ,pitch,roll
-0.03,0.0,0.9,-0.19,0.0,0.07,-2.21,0.01
-0.04,0.0,0.91,-0.2,-0.0,0.08,-2.69,0.06
-0.03,-0.01,0.91,-0.21,0.01,0.08,-1.78,-0.39
-0.03,0.0,0.92,-0.22,0.01,0.08,-1.81,0.06
-0.03,-0.01,0.92,-0.24,0.01,0.08,-1.87,-0.39
-0.03,-0.01,0.93,-0.26,0.02,0.08,-2.1,-0.63
-0.03,0.0,0.92,-0.26,0.02,0.08,-1.58,0.17
-0.03,0.0,0.93,-0.28,0.03,0.09,-1.89,0.2
-0.03,0.01,0.94,-0.28,0.02,0.1,-1.91,0.76
-0.03,0.02,0.94,-0.27,-0.0,0.11,-1.67,1.0
-0.02,0.02,0.95,-0.29,0.01,0.1,-1.07,1.05
-0.01,0.03,0.95,-0.3,0.0,0.1,-0.71,1.91
-0.01,0.04,0.95,-0.31,-0.0,0.1,-0.52,2.16
-0.01,0.04,0.96,-0.3,-0.03,0.1,-0.72,2.57
-0.01,0.05,0.96,-0.3,-0.03,0.11,-0.88,2.78
-0.01,0.06,0.98,-0.3,-0.05,0.1,-0.73,3.29
-0.02,0.07,0.98,-0.31,-0.06,0.11,-1.07,3.83
-0.02,0.07,0.99,-0.31,-0.08,0.11,-1.06,4.0
-0.02,0.08,1.0,-0.3,-0.07,0.1,-0.89,4.46
-0.02,0.08,1.01,-0.29,-0.06,0.11,-0.88,4.56
-0.02,0.09,1.02,-0.29,-0.06,0.11,-1.05,4.97
-0.02,0.1,1.03,-0.26,-0.08,0.12,-1.23,5.53
-0.02,0.1,1.05,-0.24,-0.07,0.12,-1.24,5.7
-0.02,0.11,1.05,-0.22,-0.05,0.12,-1.33,5.96
-0.02,0.12,1.05,-0.19,-0.07,0.13,-1.13,6.35
-0.02,0.12,1.05,-0.17,-0.07,0.14,-0.89,6.63
-0.01,0.12,1.05,-0.13,-0.08,0.14,-0.75,6.42
-0.01,0.12,1.05,-0.13,-0.08,0.14,-0.62,6.64
-0.01,0.13,1.05,-0.11,-0.09,0.14,-0.35,7.07
-0.0,0.13,1.05,-0.08,-0.11,0.14,-0.22,7.22
-0.01,0.12,1.05,-0.04,-0.12,0.13,-0.32,6.57
-0.01,0.12,1.04,-0.03,-0.11,0.13,-0.34,6.64
-0.01,0.11,1.04,0.01,-0.12,0.15,-0.33,6.14
-0.0,0.11,1.03,0.04,-0.13,0.14,-0.06,6.15
-0.0,0.11,1.02,0.07,-0.13,0.15,-0.01,6.03
0.0,0.1,1.01,0.1,-0.13,0.14,0.11,5.91
0.0,0.1,1.01,0.12,-0.1,0.13,0.28,5.83
0.01,0.09,1.0,0.15,-0.09,0.12,0.44,5.2
0.0,0.08,0.98,0.17,-0.09,0.12,0.12,4.75
0.01,0.08,0.98,0.19,-0.06,0.09,0.39,4.48
0.01,0.06,0.97,0.21,-0.07,0.09,0.31,3.73
0.0,0.05,0.96,0.23,-0.06,0.09,0.18,2.75
0.0,0.03,0.95,0.24,-0.07,0.08,0.12,1.87
0.0,0.02,0.94,0.23,-0.04,0.07,0.11,1.08
-0.0,0.01,0.93,0.24,-0.05,0.07,-0.27,0.55
-0.0,-0.01,0.91,0.23,-0.04,0.06,-0.25,-0.67
0.0,-0.01,0.91,0.24,-0.04,0.07,0.27,-0.82
-0.0,-0.03,0.91,0.22,-0.04,0.05,-0.3,-1.7
-0.0,-0.04,0.9,0.2,-0.04,0.05,-0.28,-2.51
-0.0,-0.04,0.9,0.19,-0.05,0.06,-0.07,-2.25
-0.0,-0.05,0.88,0.17,-0.06,0.06,-0.08,-3.06
-0.01,-0.04,0.88,0.14,-0.06,0.05,-0.58,-2.62
0.0,-0.05,0.87,0.1,-0.06,0.05,0.02,-3.42
-0.01,-0.06,0.87,0.08,-0.08,0.05,-0.56,-3.65
0.0,-0.05,0.86,0.06,-0.09,0.06,0.09,-3.54
-0.0,-0.04,0.88,0.05,-0.09,0.05,-0.04,-2.85
-0.01,-0.06,0.87,0.02,-0.08,0.04,-0.33,-4.05
