accelX,accelY,accelZ,gyroX,gyroY,gyroZ,pitch,roll
0.2,0.05,1.07,-0.09,0.09,-0.01,10.52,2.48
0.2,0.05,1.06,-0.05,0.07,-0.02,10.61,2.58
0.19,0.06,1.06,-0.02,0.05,-0.02,10.05,3.17
0.18,0.06,1.06,-0.01,0.07,-0.03,9.61,3.44
0.18,0.07,1.06,0.01,0.05,-0.03,9.57,3.54
0.17,0.07,1.06,0.01,0.05,-0.03,9.02,3.98
0.16,0.08,1.05,0.03,0.03,-0.03,8.63,4.41
0.15,0.09,1.06,0.04,0.04,-0.02,8.19,4.58
0.14,0.09,1.07,0.04,0.05,-0.01,7.46,4.7
0.13,0.09,1.07,0.06,0.05,0.0,7.04,4.64
0.12,0.08,1.06,0.08,0.02,0.03,6.6,4.45
0.12,0.08,1.06,0.09,0.05,0.04,6.41,4.36
0.11,0.08,1.04,0.09,0.05,0.05,6.24,4.52
0.11,0.08,1.04,0.1,0.05,0.05,6.11,4.41
0.11,0.08,1.03,0.07,0.04,0.07,6.24,4.49
0.1,0.08,1.02,0.09,0.01,0.09,5.79,4.26
0.1,0.07,1.02,0.09,0.04,0.08,5.51,3.91
0.09,0.07,1.02,0.09,0.01,0.09,5.11,4.11
0.09,0.08,1.02,0.08,-0.01,0.1,5.05,4.32
0.08,0.08,1.02,0.08,0.01,0.11,4.74,4.24
0.09,0.07,1.01,0.07,0.01,0.1,4.85,3.97
0.09,0.06,1.01,0.07,-0.01,0.1,5.03,3.63
0.09,0.06,1.01,0.08,0.08,0.02,4.86,3.27
0.08,0.06,1.0,0.05,-0.0,0.1,4.62,3.24
0.08,0.06,1.0,0.05,0.0,0.09,4.62,3.62
0.08,0.07,1.01,0.03,0.01,0.08,4.76,3.71
0.08,0.07,1.01,0.03,0.0,0.09,4.67,4.12
0.09,0.07,1.01,0.03,0.01,0.08,4.98,3.84
0.09,0.08,1.01,0.01,0.03,0.07,4.87,4.38
0.09,0.08,1.01,0.01,0.03,0.08,5.05,4.52
0.09,0.09,1.02,-0.01,0.04,0.07,5.31,4.77
0.09,0.08,1.03,-0.01,0.02,0.1,5.19,4.62
0.09,0.09,1.04,-0.01,0.05,0.08,4.86,4.96
0.1,0.09,1.06,-0.01,0.03,0.09,5.27,4.97
0.09,0.1,1.07,-0.01,0.01,0.09,4.67,5.34
0.09,0.11,1.09,-0.06,-0.06,0.17,4.55,5.61
0.08,0.11,1.1,-0.02,-0.03,0.13,4.36,5.53
0.08,0.11,1.11,-0.0,-0.03,0.15,4.3,5.62
0.08,0.11,1.12,0.0,-0.05,0.17,4.22,5.53
0.08,0.12,1.12,0.04,-0.08,0.2,4.11,5.89
0.08,0.12,1.12,0.04,-0.06,0.22,4.1,5.93
0.08,0.12,1.1,0.04,-0.06,0.25,4.2,6.25
0.08,0.12,1.09,0.06,-0.06,0.28,4.23,6.19
0.07,0.11,1.07,0.1,-0.07,0.3,3.98,6.05
0.08,0.1,1.06,0.11,-0.06,0.34,4.05,5.37
0.07,0.08,1.04,0.11,-0.05,0.36,3.79,4.63
0.06,0.07,1.03,0.12,-0.04,0.38,3.48,4.14
0.05,0.07,1.0,0.13,-0.07,0.42,3.0,3.89
0.03,0.07,0.98,0.12,-0.08,0.42,1.64,4.25
0.0,0.07,0.96,0.11,-0.11,0.45,0.11,3.96
-0.02,0.07,0.93,0.08,-0.15,0.48,-1.25,4.14
-0.03,0.07,0.9,-0.01,-0.26,0.59,-2.0,4.62
-0.05,0.08,0.88,-0.04,-0.22,0.55,-3.01,5.29
-0.06,0.09,0.86,-0.1,-0.22,0.58,-3.82,5.83
-0.06,0.09,0.86,-0.17,-0.26,0.62,-3.97,5.91
-0.06,0.09,0.85,-0.24,-0.28,0.65,-4.04,5.83
-0.05,0.08,0.87,-0.3,-0.32,0.7,-2.99,5.35
-0.02,0.06,0.87,-0.37,-0.33,0.73,-1.24,4.08
0.0,0.04,0.89,-0.41,-0.34,0.77,0.03,2.41
0.03,0.02,0.9,-0.43,-0.36,0.8,2.14,1.14
0.05,0.0,0.91,-0.44,-0.36,0.81,3.13,0.11
0.07,-0.02,0.9,-0.46,-0.32,0.8,4.57,-1.2
0.09,-0.03,0.9,-0.45,-0.33,0.81,6.0,-1.84
0.1,-0.04,0.89,-0.42,-0.32,0.78,6.49,-2.47
0.12,-0.04,0.89,-0.41,-0.28,0.76,7.8,-2.5
0.13,-0.05,0.9,-0.4,-0.27,0.73,8.45,-2.94
0.14,-0.05,0.9,-0.4,-0.23,0.69,8.71,-2.84
0.14,-0.04,0.91,-0.37,-0.21,0.66,9.05,-2.31
0.15,-0.04,0.93,-0.35,-0.2,0.63,9.42,-2.52
0.16,-0.04,0.94,-0.34,-0.16,0.6,9.8,-2.44
0.16,-0.03,0.96,-0.32,-0.15,0.58,9.63,-2.05
0.16,-0.03,0.96,-0.26,-0.14,0.56,9.4,-1.77
0.16,-0.03,0.97,-0.24,-0.14,0.54,9.42,-1.91
0.15,-0.03,0.97,-0.21,-0.13,0.51,9.05,-1.8
0.15,-0.02,0.96,-0.2,-0.12,0.49,8.81,-1.36
0.15,-0.02,0.96,-0.16,-0.13,0.47,9.05,-1.0
0.15,-0.02,0.96,-0.15,-0.14,0.46,8.72,-0.97
0.14,-0.01,0.96,-0.14,-0.12,0.44,8.4,-0.63
0.14,-0.0,0.97,-0.13,-0.11,0.42,8.41,-0.24
0.14,-0.0,0.97,-0.11,-0.12,0.39,8.05,-0.06
0.14,0.01,0.98,-0.09,-0.12,0.37,8.16,0.36
0.13,0.01,0.98,-0.1,-0.09,0.35,7.58,0.79
0.13,0.02,0.99,-0.09,-0.07,0.33,7.36,1.3
0.13,0.02,0.98,-0.07,-0.08,0.32,7.56,1.19
0.13,0.02,1.0,-0.06,-0.06,0.31,7.27,0.9
0.13,0.02,1.01,-0.04,-0.06,0.28,7.36,1.07
0.14,0.02,1.02,-0.01,-0.04,0.25,7.62,1.03
0.13,0.02,1.04,0.01,-0.04,0.24,6.97,1.29
0.12,0.03,1.04,0.04,-0.05,0.23,6.48,1.73
0.11,0.04,1.05,0.07,-0.07,0.22,6.21,2.12
0.12,0.04,1.06,0.09,-0.04,0.2,6.23,2.19
0.12,0.04,1.07,0.1,-0.02,0.2,6.37,2.07
0.12,0.04,1.08,0.11,-0.04,0.2,6.33,2.26
0.12,0.03,1.09,0.2,0.01,0.17,6.36,1.78
0.11,0.04,1.09,0.23,0.04,0.15,5.9,2.28
0.11,0.05,1.09,0.25,0.07,0.14,5.59,2.37
0.09,0.05,1.07,0.3,0.06,0.15,4.7,2.63
0.08,0.05,1.06,0.31,0.06,0.15,4.49,2.88
0.08,0.06,1.04,0.34,0.09,0.14,4.12,3.13
0.06,0.06,1.02,0.37,0.12,0.12,3.59,3.17
0.06,0.05,1.01,0.37,0.15,0.09,3.24,2.97
0.05,0.05,0.98,0.36,0.12,0.12,2.65,3.07
0.03,0.04,0.96,0.38,0.15,0.1,2.03,2.58
0.01,0.05,0.95,0.35,0.16,0.1,0.86,3.2
0.0,0.06,0.93,0.34,0.16,0.1,0.22,3.5
-0.0,0.07,0.93,0.31,0.15,0.09,-0.27,4.28
-0.02,0.06,0.92,0.26,0.16,0.09,-1.12,3.89
-0.05,0.07,0.91,0.22,0.14,0.09,-2.87,4.47
-0.06,0.07,0.92,0.17,0.12,0.1,-3.66,4.2
-0.08,0.09,0.91,0.11,0.06,0.12,-5.08,5.9
-0.13,0.11,0.91,0.03,-0.01,0.16,-8.25,6.6
-0.18,0.14,0.9,-0.07,-0.08,0.21,-11.12,8.52
-0.22,0.16,0.89,-0.16,-0.22,0.3,-13.63,9.92
-0.24,0.18,0.88,-0.31,-0.35,0.39,-14.71,11.38
-0.26,0.19,0.89,-0.45,-0.44,0.48,-15.76,11.86
-0.24,0.2,0.91,-0.57,-0.54,0.59,-14.52,11.77
-0.2,0.19,0.92,-0.72,-0.58,0.67,-11.9,11.17
-0.14,0.17,0.94,-0.83,-0.63,0.74,-8.54,9.94
-0.08,0.14,0.98,-0.92,-0.62,0.79,-4.76,7.9
-0.02,0.11,1.02,-0.98,-0.6,0.81,-1.03,6.03
0.03,0.09,1.05,-0.98,-0.57,0.84,1.8,4.77
0.08,0.07,1.09,-0.97,-0.53,0.84,4.3,3.69
0.13,0.05,1.13,-0.92,-0.45,0.82,6.58,2.56
0.17,0.04,1.14,-0.87,-0.36,0.81,8.49,1.81
0.19,0.03,1.15,-0.79,-0.3,0.78,9.59,1.46
0.22,0.03,1.16,-0.7,-0.23,0.76,10.98,1.49
0.24,0.03,1.16,-0.61,-0.16,0.72,11.91,1.37
0.26,0.03,1.15,-0.53,-0.07,0.67,12.56,1.37
0.26,0.02,1.15,-0.47,-0.02,0.64,12.97,0.99
0.28,0.02,1.14,-0.39,0.02,0.59,13.71,0.82
0.28,0.01,1.14,-0.31,0.06,0.54,13.87,0.68
0.29,0.0,1.14,-0.26,0.1,0.5,14.16,0.12
0.29,0.0,1.13,-0.19,0.12,0.46,14.19,0.11
0.27,-0.0,1.13,-0.11,0.12,0.42,13.5,-0.16
0.25,-0.01,1.12,-0.06,0.12,0.38,12.37,-0.31
0.21,-0.0,1.1,0.05,0.23,0.23,10.93,-0.22
0.18,-0.0,1.09,0.0,0.06,0.37,9.42,-0.01
0.14,-0.0,1.06,0.05,-0.01,0.37,7.48,-0.0
0.1,-0.0,1.03,0.04,-0.05,0.37,5.79,-0.17
0.06,0.0,1.0,0.02,-0.08,0.39,3.45,0.25
0.02,0.01,0.97,-0.04,-0.14,0.43,1.11,0.74
-0.01,0.02,0.95,-0.1,-0.21,0.45,-0.66,1.07
-0.04,0.02,0.93,-0.16,-0.3,0.5,-2.19,1.37
-0.04,0.03,0.92,-0.27,-0.33,0.53,-2.5,1.79
-0.02,0.02,0.92,-0.36,-0.38,0.57,-1.52,1.46
0.01,0.01,0.92,-0.44,-0.39,0.59,0.49,0.86
0.04,0.0,0.93,-0.5,-0.42,0.6,2.61,0.03
0.08,-0.02,0.94,-0.53,-0.4,0.58,5.01,-1.26
0.11,-0.02,0.96,-0.57,-0.39,0.57,6.76,-1.48
0.14,-0.03,0.97,-0.56,-0.39,0.54,8.48,-1.84
0.16,-0.04,0.99,-0.53,-0.39,0.52,9.39,-2.31
0.18,-0.05,1.01,-0.51,-0.34,0.46,10.07,-2.87
0.19,-0.04,1.03,-0.46,-0.33,0.42,10.45,-2.38
0.2,-0.04,1.06,-0.42,-0.31,0.38,10.73,-2.37
0.2,-0.03,1.08,-0.35,-0.3,0.33,10.26,-1.68
0.18,-0.02,1.1,-0.28,-0.29,0.32,9.53,-1.09
0.17,-0.01,1.11,-0.23,-0.25,0.29,8.67,-0.76
0.15,-0.02,1.11,-0.16,-0.26,0.28,7.43,-0.79
0.14,-0.02,1.11,-0.07,-0.25,0.26,7.07,-1.2
0.12,-0.03,1.08,-0.02,-0.22,0.24,6.54,-1.63
0.12,-0.03,1.07,0.03,-0.2,0.22,6.33,-1.35
0.11,-0.02,1.04,0.06,-0.17,0.21,6.08,-1.34
0.11,-0.02,1.03,0.09,-0.15,0.18,6.19,-0.9
0.11,-0.01,1.02,0.11,-0.11,0.15,6.39,-0.72
0.12,-0.02,1.01,0.11,-0.08,0.13,6.85,-1.08
0.13,-0.02,1.01,0.13,-0.03,0.09,7.55,-1.07
0.14,-0.03,1.02,0.15,0.01,0.08,8.03,-1.48
0.16,-0.03,1.02,0.19,0.07,0.03,8.88,-1.92
0.17,-0.04,1.03,0.22,0.13,-0.01,9.14,-2.04
0.17,-0.04,1.03,0.26,0.16,-0.03,9.45,-2.16
0.17,-0.04,1.02,0.31,0.17,-0.06,9.44,-2.3
0.16,-0.04,1.01,0.34,0.18,-0.09,9.0,-2.02
0.15,-0.03,0.99,0.35,0.22,-0.12,8.72,-1.86
