accelX,accelY,accelZ,gyroX,gyroY,gyroZ,pitch,roll
0.02,0.04,1.01,-0.03,0.01,0.0,1.16,2.02
0.02,0.04,1.0,-0.08,-0.06,0.07,0.87,2.05
0.02,0.04,1.0,-0.04,-0.01,0.02,1.05,2.21
0.01,0.04,1.0,-0.05,0.01,-0.0,0.86,2.17
0.02,0.03,0.99,-0.04,-0.0,0.01,1.13,1.72
0.02,0.03,1.0,-0.07,-0.04,0.04,0.94,1.91
0.02,0.03,1.0,-0.05,-0.01,0.01,1.22,1.94
0.01,0.03,0.99,-0.02,-0.0,-0.0,0.83,2.01
0.02,0.03,0.99,-0.04,0.01,-0.0,1.0,1.96
0.02,0.04,1.01,-0.03,0.0,0.01,0.9,2.42
0.02,0.04,0.99,-0.04,-0.01,0.01,1.11,2.04
0.02,0.04,1.0,-0.05,0.0,-0.0,1.16,2.26
0.01,0.03,1.01,-0.02,0.0,0.01,0.74,1.67
0.02,0.04,0.99,-0.03,0.01,-0.0,0.98,2.46
0.02,0.04,1.0,0.07,0.18,-0.18,1.03,2.07
0.02,0.04,1.0,-0.03,-0.01,-0.0,1.28,2.31
0.02,0.04,1.0,-0.02,0.0,0.0,1.0,2.18
0.02,0.04,1.0,-0.02,0.0,0.01,0.9,2.29
0.01,0.04,1.0,-0.02,-0.01,0.01,0.79,2.31
0.02,0.04,0.99,-0.05,0.0,-0.01,0.94,2.04
0.02,0.04,1.0,-0.03,0.01,0.0,1.01,2.06
0.02,0.04,1.0,-0.03,0.01,-0.0,0.9,2.24
0.02,0.04,1.0,-0.02,0.01,-0.01,1.06,2.08
0.02,0.04,1.0,-0.02,-0.01,0.0,0.97,2.12
0.02,0.04,1.0,-0.03,0.01,0.0,1.05,2.09
0.02,0.04,1.0,-0.04,0.02,0.0,1.11,2.18
0.01,0.04,1.01,-0.03,0.01,0.0,0.74,2.03
0.01,0.04,1.0,-0.03,-0.0,-0.0,0.76,2.1
0.02,0.04,1.0,-0.03,0.01,-0.0,0.86,2.08
0.01,0.04,1.0,-0.03,0.01,0.0,0.79,2.04
0.02,0.04,0.99,-0.03,0.0,-0.01,0.95,2.09
0.02,0.04,1.0,-0.02,-0.01,0.0,0.88,2.19
0.02,0.04,1.0,-0.03,0.01,0.0,1.01,2.24
0.01,0.04,1.0,-0.04,0.01,0.0,0.75,2.29
0.02,0.03,0.99,-0.02,-0.0,0.01,1.11,1.97
0.02,0.04,1.0,-0.03,-0.01,-0.0,0.96,2.12
0.02,0.04,1.0,-0.03,-0.01,0.01,0.87,2.01
0.02,0.04,1.0,-0.04,0.02,0.0,1.0,2.22
0.02,0.03,1.01,-0.02,0.0,-0.0,0.9,1.87
0.01,0.04,1.0,-0.03,-0.01,0.01,0.69,2.38
0.02,0.04,1.0,-0.05,0.02,-0.0,0.88,2.09
